图片,前型,现状,满载排水量,简介,制造厂,导弹,续航距离,反舰导弹,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,关注度,下水时间,满排吨位,火炮,服役时间
http://images.huanqiu.com/sarons/2013/11/27fdfe722bf2050bdf5db152bc3f6ac9.jpg,NULL,NULL,2400吨,"
522 连云港号，053H3型（北约称江卫Ⅱ级)导弹护卫舰，上海沪东造船厂制造，1997年10月下水，1998年命名，1999年1月服役于东海舰队。
",上海沪东造船厂,NULL,5000海里/16节,2座4联装“鹰击”-83反舰导弹发射架。防空导弹,NULL,NULL,12.4米,NULL,NULL,舰船舰艇,护卫舰,168人,112米,中国,NULL,26.5节,NULL,“连云港”号（522）护卫舰,NULL,{'$oid': '5cc931d5831b973d657f1700'},NULL,1997年10月,2000-5000吨,NULL,1999年1月
http://images.huanqiu.com/sarons/2013/11/49b0c195b201737636b0070c448d8a66.jpg,NULL,NULL,1960吨,"
559 佛山号，053H1G型（江湖Ⅴ级）导弹护卫舰。1993年12月29日在黄埔造船厂下水，1994年5月中央军委命令“559舰”为“佛山舰”，1994年5月21日“佛山舰”在珠海市举行了首航仪式。
",NULL,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,200人,103.2米,中国,NULL,25.5节,NULL,“佛山”号（559）导弹护卫舰,NULL,{'$oid': '5cc931d5831b973d657f1701'},NULL,1993年,500-2000吨,NULL,1994年
NULL,NULL,退役,1250吨,"
529 海口号(原称209 广州号，1980年改为529 海口号)，65型(江南级)火炮护卫舰首舰，1964年8月1日在上海江南造船厂铺设龙骨，1965年12月25日下水，1966年8月1日服役于东海舰队，1981年编入了南海舰队。1993年退役。
",上海江南造船厂,NULL,2700海里/16节,NULL,NULL,NULL,10.2米,NULL,NULL,舰船舰艇,护卫舰,148人,90米,中国,NULL,20.5节,NULL,“海口”号（529）火炮护卫舰,1964年8月1日,{'$oid': '5cc931d5831b973d657f1702'},NULL,1965年12月25日,500-2000吨,"100毫米单管火炮3门前一后二61式37毫米双管火炮4门。机枪",1966年8月1日
http://images.huanqiu.com/sarons/2013/11/94b80cf618efb7c5d8da21e672e0bc54.jpg,NULL,退役,1661.5吨,"
551 茂名号，053H型(江湖I级)导弹护卫舰。1978年11月17日开工，1980年4月10日下水。
",NULL,NULL,3888海里,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,190人,103.2米,中国,南海,26节,NULL,“茂名”号（551）护卫舰,1978年11月17日,{'$oid': '5cc931d5831b973d657f1703'},NULL,1980年4月10日,500-2000吨,NULL,1980年9月30日
http://images.huanqiu.com/sarons/2013/11/04a7a316682ac26eb8f55774e9ca34d0.jpg,NULL,NULL,1960吨,"
556 湘潭号，江湖II级（053H1型)。1985年11月15日开工，1987年7月14日下水，1987年12月20日服役。
",NULL,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,200人,103.22米,中国,NULL,25.5节,NULL,“湘潭”号（556）导弹护卫舰,1985年11月15日,{'$oid': '5cc931d5831b973d657f1704'},NULL,1987年7月14日,500-2000吨,NULL,1987年12月20日
NULL,NULL,退役,1250吨,"
503 开源号(原弦号233，1980年改为503)，65型(江南级)火炮护卫舰，1966年5月在广州造船厂开工。
",广州造船厂,NULL,2700海里/16节,NULL,NULL,NULL,10.2米,NULL,NULL,舰船舰艇,护卫舰,148人,90米,中国,南海,20.5节,NULL,“开源”号（503）火炮护卫舰,1966年5月,{'$oid': '5cc931d5831b973d657f1705'},NULL,NULL,500-2000吨,NULL,1969年6月
http://images.huanqiu.com/sarons/2013/11/6483389501dde7e3dcbc7913a83f6acc.jpg,NULL,NULL,1960吨,"
534 金华号，053H1型(江湖II级)护卫舰，沪东造船厂制造。1982年5月21日开工建造，1983年5月27日下水，1983年12月13日服役于东海舰队。
",沪东造船厂,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,200人,103.22米,中国,NULL,25.5节,NULL,“金华”号（534）护卫舰,1982年5月21日,{'$oid': '5cc931d6831b973d657f1706'},NULL,1983年5月27日,500-2000吨,NULL,1983年12月13日
http://images.huanqiu.com/sarons/2013/11/3b1ba6c04fb0947b016245aed71fa45d.jpg,NULL,NULL,1960吨,"
558 北海号，053H1G型（江湖Ⅴ级）导弹护卫舰，原名自贡号。1991年6月在黄埔造船厂开工，1993年1月20日下水，1993年5月交船服役于南海舰队。
",NULL,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,200人,103.2米,中国,NULL,25.5节,NULL,“北海”号（558）导弹护卫舰,1991年6月,{'$oid': '5cc931d6831b973d657f1707'},NULL,1993年1月20日,500-2000吨,NULL,1993年5月
http://images.huanqiu.com/sarons/2013/11/129f235bc36691dea408f8aabc13552f.jpg,NULL,NULL,1960吨,"
1985年11月15日开工，1987年11月8日下水，1988年6月15日服役于南海舰队。
",NULL,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,200人,103.22米,中国,mlml,25.5节,NULL,“吉首”号（557）护卫舰,1985年11月,{'$oid': '5cc931d6831b973d657f1708'},NULL,1987年11月,500-2000吨,NULL,1988年6月
http://images.huanqiu.com/sarons/2013/11/a756b679f55f235cb2e3e92219da2891.jpg,NULL,NULL,1960吨,"
1984年10月15日沪东造船厂开工建造，1985年12月28日下水，1986年12月15日正式服役于东海舰队，后于2000年调整到北海舰队。
",沪东造船厂,NULL,2700海里/18节,NULL,NULL,NULL,10.83米,NULL,NULL,舰船舰艇,护卫舰,160人,103.2米,中国,NULL,28节,NULL,“黄石”号（535）导弹护卫舰,1984年10月,{'$oid': '5cc931d6831b973d657f1709'},NULL,1985年12月,500-2000吨,NULL,1986年12月
NULL,NULL,已退役,1661.5吨,"
1976年12月13日在沪东造船厂开工，1978年2月11日下水，1978年11月1日—12月2日试航，1979年1月25日交船，曾服役于东海舰队，服役35年后于2013年5月12日正式退役。
",NULL,NULL,2700海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,190人,103.2米,中国,NULL,26节,NULL,“镇江”号（514）护卫舰,1976年12月,{'$oid': '5cc931d6831b973d657f170a'},NULL,1978年2月,500-2000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/a0d8da15869ac8087408168a3aaa5312.jpg,NULL,NULL,1960吨,"
543 丹东号，江湖III级（053H1型)。1983年12月23日开工 1985年1月25日下水 1985年5月30日服役。
",NULL,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,200人,103.2米,中国,NULL,25.5节,NULL,“丹东”号（543）护卫舰,1983年12月23日,{'$oid': '5cc931d6831b973d657f170b'},NULL,1985年1月25日,500-2000吨,NULL,1985年5月30日
