大类,类型,名称,炮管长度,最大射程,_id,图片,产国,全长,炮口初速,简介,口径,总重
火炮,装甲车载炮,SH-1型155毫米车载火炮,NULL,600000米,{'$oid': '5cc93343831b973d657f2033'},NULL,中国,NULL,NULL,NULL,155毫米,22000千克
火炮,装甲车载炮,280mm利奥波德（Leopold）列车炮,21539毫米,64000米,{'$oid': '5cc93343831b973d657f2034'},http://images.huanqiu.com/sarons/2013/11/a6869d57e0a3823f3870a88be87aec0c.jpg,德国,31100毫米,1120米/秒,"
此列车炮在二次大战东西战线均有其影子，最有名之“ 安齐奥之役 ”曾给予过美军部队不少苦头。
",283毫米,218000千克
