图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,下水时间,枪械,满排吨位,火炮,服役时间
http://images.huanqiu.com/sarons/2013/07/7a304284c45702c15efce78f08c22d7e.jpg,NULL,退役（英国）,712吨,"
“孔雀”级巡逻舰是英国皇家海军为协助水警保卫香港，于1981年向英国苏格兰的Hall Russell船厂要求建造的八百吨级巡逻艇。前三艘于1997年6月30日从香港撤离，分别是“艾米里奥·加辛托”号（原“孔雀”号，P 239，现舷号PS 35），“阿波里纳里奥”号（原“啄木鸟”号，P 240，现舷号PS36），“阿提米奥·里卡特”号（原“八哥”号，P 241，现舷号PS 37），卖给菲律宾海军，目前是菲律宾海军的主力战舰。后两艘仅在香港服役三年便转卖给爱尔兰海军，分别改名为“塞纳”（舰号P42）和L-“奥尔拉”（舰号P41）。
",英国霍尔罗素船厂,17节航速下25 00英里,NULL,NULL,10米,NULL,NULL,舰船舰艇,巡逻舰/艇,40人,62.6米,英国,NULL,25节,NULL,“孔雀/加辛托”级通用巡逻舰,1982年12月1日,{'$oid': '5cc93207831b973d657f1866'},NULL,NULL,500-2000吨,NULL,1983年
http://images.huanqiu.com/sarons/2013/07/345ddda1fff70874956e0fd9d72fbad7.jpg,NULL,NULL,331吨,NULL,布林船厂,12节航速下航程2500英里,NULL,NULL,7.6米,NULL,NULL,舰船舰艇,巡逻舰/艇,28人,55米,美国,NULL,35节,6艘,“龙卷风”(cyclone)级通用快速巡逻舰,1987年,{'$oid': '5cc93208831b973d657f1867'},NULL,NULL,500吨以内,NULL,1993年
NULL,NULL,NULL,NULL,"
服役于西班牙海事部队，速度很容易超过45节。
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,NULL,西班牙,NULL,45节,NULL,高速拦截艇,NULL,{'$oid': '5cc93208831b973d657f1868'},NULL,NULL,NULL,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/05ae5a6178a1b8af295dc1776a6e9bb9.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.3米,NULL,NULL,舰船舰艇,巡逻舰/艇,3人,10.2米,巴拿马,NULL,35节,NULL,快速巡逻船(巴拿马),NULL,{'$oid': '5cc93208831b973d657f1869'},NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,5吨,"
该艇出厂数量较多，用于特工人员潜入和秘密行动。其雷达散射截面非常小并可快速下潜。1998年，有报道称已出现新的版本。
",NULL,NULL,NULL,NULL,2.5米,NULL,3米,舰船舰艇,巡逻舰/艇,2人,12.8米,朝鲜,NULL,35节,NULL,高速潜入艇（HSIC）和不完全潜艇,NULL,{'$oid': '5cc93208831b973d657f186a'},NULL,NULL,500吨以内,NULL,NULL
http://images.huanqiu.com/sarons/2013/07/af1d3094772781f39b4fa98f35a8a624.jpg,“岛”级,退役并被转售,1427吨,“城堡”级巡逻舰，是上世纪70年代末80年代初英国建造的一种近海巡逻舰。原计划建造6艘，终只有2艘完工。其主要使命是保护英国的捕鱼船队和北海石油、天然气开采区。,NULL,10节航速下航程10 000海里,NULL,NULL,11.51米,“江河”级,NULL,舰船舰艇,巡逻舰/艇,40人,75米,英国,大西洋,20节,“利兹城堡”号(P258)，“敦巴顿堡”号(P265),“城堡”级近海巡逻舰,未知,{'$oid': '5cc93208831b973d657f186b'},NULL,NULL,500-2000吨,NULL,1981年
NULL,NULL,NULL,3.5吨,NULL,NULL,NULL,NULL,NULL,2.8米,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,9.2米,伊朗,NULL,30节,NULL,“水上摩托”攻击艇,NULL,{'$oid': '5cc93208831b973d657f186c'},NULL,NULL,500吨以内,NULL,NULL
http://images.huanqiu.com/sarons/2013/07/921add45f67c1c1eb324e36b81489c7c.jpg,NULL,现役,1512吨,"
""司令""级（Classe Comandanti）是意大利里瓦特里戈索船厂为本国海军近岸巡逻而建设的轻型舰艇。该级舰共建成六艘，分别是“希加拉·弗戈西司令”号(P490)，“博尔西尼司令”号(P491)，“贝蒂卡司令”号(P492)，“弗斯卡里司令”号(P493)，“西里奥”号(P49)，“奥里安尼”号(P 410)。
",里瓦特里戈索船厂,14节航速下3500英里,NULL,NULL,12.2米,NULL,NULL,舰船舰艇,巡逻舰/艇,70人,88.4米,意大利,NULL,26节,NULL,“司令”级近岸巡逻舰,NULL,{'$oid': '5cc93208831b973d657f186d'},NULL,NULL,500-2000吨,NULL,2002年
NULL,NULL,在役,10吨,NULL,Alutech ltd,180海里,NULL,NULL,3.5米,NULL,NULL,舰船舰艇,巡逻舰/艇,2人,13.3米,芬兰,NULL,30节,NULL,Jurmo级快速攻击艇,NULL,{'$oid': '5cc93208831b973d657f186e'},NULL,NULL,500吨以内,NULL,1999年
http://images.huanqiu.com/sarons/2014/01/e3d1a389fcbccd8ab9f2d63de0f214f1.jpg,NULL,现役,1300吨,NULL,日本海上保安厅,NULL,NULL,NULL,11米,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,89米,日本,NULL,30节,NULL,波照间级PL型巡视舰,NULL,{'$oid': '5cc93208831b973d657f186f'},NULL,NULL,500-2000吨,NULL,2008年
