图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,关注度,下水时间,满排吨位,服役时间
http://images.huanqiu.com/sarons/2013/07/42b053310d9a1883654e2544642a2ecc.jpg,NULL,退役,39967吨,"
塔拉瓦级通用两栖攻击舰是美国海军的两栖作战舰艇，它配载登陆艇、两栖车辆、直升机等，兼有两栖攻击舰和运输舰的作战能力。“塔拉瓦”级舰的主要任务是运载海军陆战队的一个加强营(约2000人)及其装备，以支援登陆战。由于舰上设有指挥控制部位，并安装先进的电子设备，因此还具有指挥舰的作用。
",英格尔斯船厂,20节航速时航程10 000英里,NULL,NULL,40.2米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,254.2米,美国,NULL,24节,“塔拉瓦”号，“塞班”号，“贝劳伍德’号，“拿骚”号，“佩莱利乌”号（原“岘港”号）,“塔拉瓦”级两栖攻击舰,1971年1月,{'$oid': '5cc931e1831b973d657f1754'},NULL,1973年12月,10000-50000吨,1976年5月
http://images.huanqiu.com/sarons/2013/11/50a302668a4b98e6ad38cd2384d7895c.jpg,NULL,NULL,4170吨,NULL,NULL,3000海里,3172吨,20天,15.6米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,119米,中国,NULL,20节,NULL,玉康级大型登陆舰,1979年,{'$oid': '5cc931e1831b973d657f1755'},NULL,1978年3月,2000-5000吨,NULL
http://images.huanqiu.com/sarons/2013/07/8afbb5ca94df2b53d473718fe4f4fa36.jpg,“鳄鱼”级,NULL,4400吨,"
“蟾蜍”（Ropucha）级是前苏联在1965年开始建造的首批大型登陆舰“鳄鱼”级基础上发展而来的坦克登陆舰。
",NULL,12节航速下6 000英里,NULL,NULL,15.9米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,112.5米,苏/俄,北冰洋太平洋,17.5节,NULL,“蟾蜍”级坦克登陆舰,1974年,{'$oid': '5cc931e1831b973d657f1756'},NULL,NULL,2000-5000吨,NULL
http://images.huanqiu.com/sarons/2013/07/6c5ace1159f22df4b5f95af142be407f.jpg,特伦顿级两栖船坞运输舰，奥斯汀级两栖船坞运输，克利夫兰级两栖船坞运输，克雷奇级船坞登陆舰，新港级坦克登陆舰，查尔斯顿级两栖货船,在役,25300吨,"
圣安东尼奥级（San Antonio class，简称LPD17)两栖船坞登陆舰是美国海军新一代的两栖船坞运输舰，相较于以往的两栖舰艇，圣安东尼奥级着重于减少对友军岸上设施的依赖、降低人力需求、减低作业成本、保留未来改良空间以及提高独力作战能力，特别是自卫能力。2013年4月6日，美国海军第8艘“圣安东尼奥”级两栖船坞登陆舰“阿灵顿”号(LPD24)服役。
",诺斯罗普·格鲁曼公司,暂未公布,NULL,NULL,31.9米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,208.4米,美国,NULL,22节,圣•安东尼奥”号，“新奥尔良”号，“梅萨维德”号，“格林贝”号，“纽约”号，“圣地亚哥”号，”安克拉治”号，阿林顿”号，“萨默塞特”号,“圣•安东尼奥”级两栖运输舰,2003年7月12日,{'$oid': '5cc931e1831b973d657f1757'},NULL,NULL,10000-50000吨,2006年1月14日
http://images.huanqiu.com/sarons/2013/11/3ae48090f7500c302b690b2deb811497.jpg,NULL,NULL,1850吨,NULL,NULL,NULL,NULL,NULL,12.6米,NULL,NULL,舰船舰艇,两栖作战舰艇,180人,87米,中国,NULL,17节,NULL,玉登级中型登陆舰,二十世纪八十年代,{'$oid': '5cc931e1831b973d657f1758'},NULL,NULL,500-2000吨,二十世纪九十年代初
http://images.huanqiu.com/sarons/2013/11/61c77f99f4c7e800f37a33a1d99ab7a9.jpg,NULL,NULL,4800吨,NULL,NULL,暂无数据,NULL,NULL,16.4米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,119.5米,中国,NULL,18节,NULL,玉亭级大型登陆舰,1992年,{'$oid': '5cc931e1831b973d657f1759'},NULL,NULL,2000-5000吨,NULL
NULL,玉连级（079型）中型登陆舰,NULL,833.4吨,"
玉连级（079型）改进型在1979年到1983年间生产。所有31艘“玉连”级都装备于南海舰队，主要任务是支援解放军海军在西沙、中沙和南沙的行动。90年代一些舰只可能已经退役，移交给了预备役部队或转移给了地方运输船队。
",NULL,1852千米,NULL,NULL,10米,玉连级（079型）改进型,NULL,舰船舰艇,两栖作战舰艇,NULL,60.3米,中国,NULL,12节,NULL,玉连级（079型）改进型,1979年,{'$oid': '5cc931e2831b973d657f175a'},NULL,NULL,500-2000吨,NULL
NULL,NULL,NULL,800吨,"

",长沙船舶厂,暂未公布,614吨,15天,9米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,54米,中国,NULL,13节,NULL,271型/玉盆级登陆舰,1984年11月,{'$oid': '5cc931e2831b973d657f175b'},NULL,NULL,500-2000吨,1989年12月
http://images.huanqiu.com/sarons/2013/11/909e900b946b427ddc93f6603aed41e5.jpg,NULL,NULL,800吨,NULL,NULL,暂未公布,NULL,NULL,10.4米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,58.4米,中国,NULL,18节,NULL,玉海中型登陆舰,20世纪80年代,{'$oid': '5cc931e2831b973d657f175c'},NULL,NULL,500-2000吨,1995年
http://images.huanqiu.com/sarons/2013/11/975ea025857d75d3fd9cc63389d1911a.jpg,NULL,NULL,833吨,"
079型登陆舰本是在70年代根据越南要求而进行专门设计建造的中小型登陆运输船，要求装200-250吨货，航速12-15节，设备可靠，工艺简单，便于批量建造。1971至1973年完成设计。

  首制舰于1974年5月在广州船厂建造，1976年7月22日下水。此时中越关系已经有所变化，遂决定将其改为国内使用。1976年12月至1977年1月进行了装载登陆试验，证明该艇登、退滩性能好；装载量大，经济性好，并具有超载能力；船型简易、制造方便，适合于批量生产。但耐风浪性较差、航速慢。
",NULL,3000海里,NULL,NULL,13.8米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,72米,中国,NULL,12节,NULL,玉连级（079型）中型登陆舰,1974年5月,{'$oid': '5cc931e2831b973d657f175d'},NULL,1976年7月22日,500-2000吨,二十世纪七十年代中期
NULL,NULL,NULL,17600吨,"
昆仑山号船坞登陆舰（Amphibious transport dock “Kunlun Shan”）为中国人民解放军海军071型两栖登陆舰首舰，舷号998，于2007年11月30日服役于南海舰队。昆仑山号船坞登陆舰可承担登陆作战的母船，用以运送士兵、步兵战车、主战坦克等展开登陆作战，也可搭载两栖车辆，并有可供中型直升机起降的甲板平台。

中国第一艘新型船坞运输舰“昆仑山”号的建成标志着中国海军登陆作战样式将发生重大变化。以两栖战舰作为技术经验平台，中国航空母舰的技术积累在这种潜移默化的过程中完成。
",NULL,暂未公布,NULL,NULL,28米,NULL,7米,舰船舰艇,两栖作战舰艇,NULL,210米,中国,NULL,22节,NULL,昆仑山号船坞登陆舰（998）,2006年6月,{'$oid': '5cc931e2831b973d657f175e'},NULL,2006年12月,10000-50000吨,2007年11月30日
NULL,NULL,服役中,128吨,"
 067型(玉南级)小型多功能登陆艇，主要用于在没有港口的内河和海岸实行两栖攻击和运送车辆、部队和货物。海军舰艇研究院708所于1962年开始设计，1964年第一艘艇在青岛下水，到70年代估计一共制造了280艘，成为当时解放军两栖力量的中坚。
",海军舰艇研究院708所,500海里,NULL,NULL,5.4米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,28.6米,中国,NULL,12节,NULL,067型(玉南级)小型登陆艇,1962年,{'$oid': '5cc931e2831b973d657f175f'},NULL,1964年,500吨以内,NULL
NULL,NULL,NULL,1100吨,NULL,NULL,暂未公布,NULL,NULL,10.5米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,79米,中国,NULL,16节,NULL,玉岛级中型登陆舰,1976年9月,{'$oid': '5cc931e2831b973d657f1760'},NULL,1978年6月,500-2000吨,1980年初
http://images.huanqiu.com/sarons/2013/11/e3700d4374488b041dce38b2749b8ede.jpg,072型,NULL,4170吨,NULL,NULL,暂无数据,NULL,14天,15.6米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,119米,中国,NULL,20节,NULL,072II（玉亭级）大型登陆舰,1983年,{'$oid': '5cc931e2831b973d657f1761'},NULL,NULL,2000-5000吨,NULL
http://images.huanqiu.com/sarons/2013/11/1756fcb64b6069ef61dc9b49cadcc569.jpg,NULL,服役中,85吨,NULL,海军舰艇研究院708所,600海里,58吨,NULL,5.2米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,24.8米,中国,NULL,11.5节,NULL,069型(玉清级)小型登陆艇,NULL,{'$oid': '5cc931e3831b973d657f1762'},NULL,NULL,500吨以内,1966年
NULL,NULL,NULL,44971吨,"
美国号两栖攻击舰是“美国”级两栖攻击舰1号舰(LHA6)，该舰将取代“塔拉瓦”级两栖攻击舰成为美国海军的新一代两栖攻击舰。美国号两栖攻击舰于2012年6月1日下水，10月20日举行命名仪式，母港在圣迭戈海军基地。
",NULL,未公布,NULL,NULL,32.3米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,257.25米,美国,NULL,20节,NULL,“美国”级两栖攻击舰1号舰(LHA6),NULL,{'$oid': '5cc931e3831b973d657f1763'},NULL,2012年6月1日,10000-50000吨,NULL
NULL,NULL,服役中,500吨,271Ⅱ型中型登陆艇，首艇于1972年12月开工，1975年9月下水，1975年11月30日交船，于1978年定型。到80年代一共有数百艘该级登陆艇被制造，今天仍是解放军两栖登陆的中坚力量。,长沙造船厂,1000海里,NULL,20天,9米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,54米,中国,NULL,13节,NULL,271Ⅱ型中型登陆艇,1972年12月,{'$oid': '5cc931e3831b973d657f1764'},NULL,1975年9月,500-2000吨,1975年11月30日
NULL,073III型,现役,2000吨,"
073A型中型登陆舰，073Ⅲ型（玉登级）中型登陆舰改进型，主要运载量：6辆中型坦克、或8辆63A式水陆两栖坦克、或9辆步兵战车、或一个海军陆战中队（180人）、或12辆卡车、或运载250吨的货物。
",上海中华造船厂,暂未公布,1460吨,NULL,12.6米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,87米,中国,NULL,17节,NULL,073A型中型登陆舰,NULL,{'$oid': '5cc931e3831b973d657f1765'},NULL,NULL,2000-5000吨,2004年
NULL,“玉海”级登陆舰,NULL,800吨,074A型(玉北级)双体通用登陆艇，母型是074型(即“玉海”级)登陆舰，首舰于1995年开始进入我军现役，目前正处于批量建造中。,NULL,暂无数据,650吨,15天,10.4米,NULL,2.7米,舰船舰艇,两栖作战舰艇,NULL,58.4米,中国,亚洲,18节,NULL,074A型双体通用登陆艇,NULL,{'$oid': '5cc931e3831b973d657f1766'},NULL,NULL,500-2000吨,1995年
NULL,073Ⅱ型中型登陆舰,NULL,1100吨,NULL,9308厂,暂未公布,1040吨,7天,10.5米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,79米,中国,NULL,16节,073Ⅱ型军用运输舰,073ⅡY型登陆运输舰,1976年9月,{'$oid': '5cc931e3831b973d657f1767'},NULL,1985年9月,500-2000吨,NULL
NULL,072III型,现役,4800吨,"
072A型是072III型加长改良型，072A型（Type-072A）两栖登陆舰，北约称之玉亭II级（Yuting II Class），是继玉亭级之后中国于2003年推出的新型大型两栖登陆舰，由上海沪东造船厂和大连造船厂承建。
",上海沪东造船厂和大连造船厂,暂未公布,3430吨,20天,16.4米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,130米,中国,NULL,21节,NULL,072A型大型登陆舰,NULL,{'$oid': '5cc931e3831b973d657f1768'},NULL,2003年,2000-5000吨,NULL
NULL,NULL,NULL,NULL,"
1975年，海军委托708所设计中型全垫升式气垫登陆试验艇722型。该艇于1979年建成，708所在722原型艇的基础上，设计了沿海中型气垫登陆艇722Ⅱ型。722Ⅱ型气垫登陆艇最大的缺点，就是受到当时国内科技水平限制，缺乏大型气垫登陆艇的实际设计经验。因此没有进行批量建造。不过，该艇已经完全具备了现代气垫登陆艇的基本特征，海军利用其进行广泛试验，为新型登陆战法的完善以及新一代气垫登陆艇的研发做出了重大贡献。
",708所,200海里,NULL,NULL,15.7米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,31.2米,中国,NULL,47节,722型、722Ⅱ型,722/722Ⅱ型气垫登陆艇,1979年,{'$oid': '5cc931e3831b973d657f1769'},NULL,1988年,NULL,NULL
NULL,NULL,退役,850吨,"
073型中型登陆舰，系首开门短首楼、遮蔽式高坦克甲板、柴油机双螺旋桨推进的中型坦克登陆舰。该型舰的主要任务是在渡海登陆作战中输送登陆部队在滩头直接登陆，协助布雷舰在近海范围内布设防御水雷，并能担任运输任务。具有结构简单、使用方便、造价低廉的特点，可在二、三线船厂大量建造。
",大连造船厂,1200海里,NULL,NULL,10.5米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,69米,中国,北海,15节,NULL,073型中型登陆舰,1966年11月,{'$oid': '5cc931e4831b973d657f176a'},NULL,1969年8月,500-2000吨,1975年
http://images.huanqiu.com/sarons/2013/12/d9ef64358ecbad9cf1e52f07da42dc07.jpg,NULL,在役,27079吨,NULL,纳凡蒂亚,10900,NULL,NULL,32米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,230.82米,西班牙,NULL,21节,NULL,胡安·卡洛斯一世号战略投射舰,NULL,{'$oid': '5cc931e4831b973d657f176b'},NULL,2009年9月22日,10000-50000吨,2010年9月30日
