国家,生产厂商
美国,海军陆战队步枪队装备工作室(美国，弗吉尼亚州)
德国,卡尔瓦尔特武器制造厂
捷克,波尔约夫卡兵工厂
德国,德国卡尔瓦尔特武器制造厂
德国,德国黑克勒-科赫公司
美国,杰纳苏斯普林菲尔德有限公司(美国，伊利诺斯州)
法国,巴荣纳自动武器制造公司
俄罗斯,伊热夫斯克机械工厂
美国,阿根廷国营兵工厂，勃朗宁武器公司
以色列,以色列军事工业有限公司
中国,北方工业公司
德国,瓦尔特公司，毛瑟兵工厂
奥地利,奥地利格洛克有限公司
中国,北方工业
比利时,比利时维赫特(Verhacrt)公司
美国,光谱航天公司（Spectrum Astro）
意大利,意大利阿莱尼亚太空中心
日本,日本空间和宇航科学研究院
美国,波音幻影工厂，巴尔航天公司
中国,上海航天技术研究院和航天东方红卫星公司
中国,由中国航天科技集团公司所属航天东方红卫星有限公司
德国,德国毛瑟公司
印度,印度武器研究与开发部
德国,德国毛瑟公司，莱茵金属公司等
美国,赫斯塔尔公司（FN）
意大利,布雷达机械公司
日本,日立工机株式会社
意大利,贝达公司
苏/俄,列宁格勒工厂
韩国,韩国大宇公司
苏/俄,杰格佳廖夫厂
南非,Denel Land Systems（丹尼尔土地系统）
德国,德意志武器与弹药公司 （DWM），史宾道与爱尔福特兵工厂，汉阳兵工厂
新加坡,新加坡特许工业公司（CIS）
墨西哥,门多萨产品公司
新加坡,新加坡特许工业公司
法国,法国国营查特勒尔特兵工厂(MAC)
苏/俄,捷格佳廖夫设计局等
英国,恩菲尔德兵工厂
西班牙,西班牙国营圣•巴巴拉兵工厂
英国,BAE系统公司
美国,赫斯塔尔美国分公司（FN）
美国,美国萨克防务公司
美国,温彻斯特公司
美国,通用电气公司
美国,美国柯尔特武器公司
新加坡,新加坡技术动力
美国,麦克唐纳·道格拉斯直升机公司，英国皇家军械公司
美国,美国通用电气公司
美国,美国萨科防务公司
捷克,布鲁诺兵工厂
中国,汉阳兵工厂
捷克,捷克布鲁诺兵工厂中国各地兵工厂
苏/俄,V.A. 狄格特亚耶夫工厂
新加坡,新加坡科技动力公司
美国,AAI公司
德国,德国HK公司
美国,黑克勒-科赫
美国,美国霍克工程公司
西班牙,西班牙圣塔·巴巴拉公司
美国,美国海军军械研究所
美国,美国AAI公司
美国,美国航空喷气军械公司
美国,美国斯普林菲尔德兵工厂
意大利,意大利吕吉•弗兰奇公司
美国,美国佩恩武器公司
英国,英国希尔顿枪械公司
苏/俄,Bazalt
美国,美国麦克唐纳-道格拉斯公司；塔利防御系统公司
英国,英国肖特兄弟有限公司 
瑞典,瑞典绅宝波佛斯动力公司
西班牙,西班牙英斯塔拉扎
法国,法国吕歇尔公司
南非,南非军械制造公司
法国,法国地面武器工业集团
前南斯拉夫,南斯拉夫
英国,亨廷工程有限公司
德国,德国狄那米特-诺贝尔公司
瑞典,瑞典FFV军械公司
美国,美国塔利防御系统公司和埃齐伍德兵工厂
比利时,比利时麦卡公司
法国,法国马特拉-马努汗防务公司
西班牙,西班牙英斯塔拉扎公司
法国,法国GIAT公司
美国,美国赫西东方公司
英国,法国马特拉-马努汗防务公司和英国航空航天公司
芬兰,沙科有限公司
法国,法国PGM精密仪器公司
德国,德国赫克勒-科赫有限公司
匈牙利,匈牙利杰帕德公司
比利时,比利时国营赫斯塔尔公司
德国,德国赫克勒-科赫公司（HK）
匈牙利,匈牙利杰帕徳公司
法国,法国国营圣·艾蒂安武器制造厂
瑞士,SIG Arms（现在是西格&绍尔）
匈牙利,杰帕德公司
苏/俄,KBP仪器设计厂
美国,巴雷特军火公司
英国,英国精密国际
英国,精准国际公司（Accuracy International）
挪威,未知
苏/俄,前苏联伊茨玛希机械厂
南非,南非托尼内奥皮图兵器设计公司
英国,英国帕克黑尔公司
英国,精准国际公司(Accuracy Intemational，英国，朴次茅斯)
英国,英国皇家轻武器厂（RSAF）
美国,美国雷明登武器公司
美国,海军陆战队步枪队装备工作室(美国，弗占尼亚州，匡堤科)
英国,精准国际公司(英国，朴次茅斯)
美国,铁旅兵工厂(美国，北卡罗来纳州)
美国,美国贝尔塔枪械公司
美国,巴雷特
中国,中国南方工业集团公司
中国,建设集团军品研究所
美国,奈特军械公司
苏/俄,伊茨玛希工厂
捷克,捷克斯洛伐克CZ兵工厂
美国,雷明登军品分公司
苏/俄,伊热夫斯克机械公司
苏/俄,图拉仪表制造设计局
奥地利,斯泰尔-曼利夏公司
英国,英国国际精密公司
美国,奈特军械公司（KAC）
瑞士,SIG公司
美国,塔·亨特定制步枪公司，麦克米伦机械公司
德国,Sauer公司，SIG公司
以色列,以色列TCI公司
美国,雷明登武器公司
美国,巴雷特枪械公司
匈牙利,匈牙利技术公司
英国,英国精密国际公司
美国,美国陆军特种部队—第10特种小队(10th Special Forces Group)
美国,雷明顿武器公司
美国,岩岛兵工厂，春田公司
美国,美国CheyTac公司
美国,岩岛兵工厂
美国,罗巴公司
苏/俄,KBP设计局
美国,三菱电机株式会社
美国,喷气推进实验室
美国,洛克希德公司
英国,英国宇航公司
美国,NASA戈达德航天飞行中心
美国,EADS阿斯特厄姆公司
德国,多尼尔卫星系统公司
美国,荷兰航空航天学会
美国,TRW太空电子集团
日本,日本宇宙航空研究开发机构——宇宙科学研究所
美国,Spectrum Astro公司
中国,中国国家航天局
美国,美国宇航局戈达德航天飞行中心
美国,斯威尔斯宇航公司
美国,NASA喷气推进实验室
美国,TRW公司
意大利,意大利卡罗·加瓦兹空间公司
美国,多尼尔(Dornier)公司
英国,多尼尔卫星系统公司
日本,NEC东芝公司
英国,EADS阿斯特里厄姆公司、日本宇宙航空研究开发机构
美国,约翰.霍普金斯大学应用物理实验室
美国,洛克希德马丁空间系统公司
美国,马丁·玛丽埃塔公司(现为洛克希德·马丁公司)
加拿大,加拿大代纳肯公司/多伦多大学航空航天研究所
美国,麻省理工学院
美国,斯坦福大学
美国,轨道科学公司(以前的中光谱航宇公司)
美国,欧洲阿尔卡特—阿莱尼亚航天公司
美国,泰利斯.阿莱尼亚公司
日本,三菱电机、NEC东芝空间系统
美国,通用电子公司Astro-space分部
瑞典,瑞典空间公司（SSC）
美国,TRW系统公司
苏/俄,拉沃契金设计局
美国,马丁·玛丽埃塔公司
美国,NASA Ames研究中心
美国,仙童公司
美国,NASA戈达德航天飞行中心(LRO)／诺斯洛普·格鲁格空间技术公司(LCROSS)
美国,洛克希德·马丁宇航公司
美国,毕格罗航天公司
美国,洛克希德.马丁宇航公司
美国,日本空间和宇航科学研究院
美国,EADS阿斯特厄里姆公司
美国,NASA-戈达德，航天飞行中心
美国,光谱宇宙有限公司
日本,日本宇宙研究航空开发机构
法国,欧洲阿尔卡特航天公司
美国,美国国家航天局
苏/俄,苏联航天机构
捷克,前捷克斯洛伐克切斯卡·兹布罗约夫卡兵工厂
日本,日本丰和工业
中国,中国北方工业总公司
中国,中国兵器装备集团公司
德国,黑克勒-科赫(HK公司)
日本,日本丰和机械有限公司
苏/俄,伊孜玛什公司
奥地利,斯泰尔-曼利夏 （Steyr Mannlicher）
芬兰,芬兰萨科公司
德国,黑内尔公司
法国,法国GIAT集团下属的圣·艾蒂安兵工厂
芬兰,芬兰瓦尔梅特公司
德国,德国赫克勒-科赫公司（H&K）
比利时,Fabrique Nationale（简称FN，没有正式中文译名）
印度,武器研究与开发部
德国,德国赫克勒&科赫防务公司(H&K)
阿根廷,多明戈-马特轻武器厂（DGFM）
中国,重庆空压厂，嘉陵厂，建设厂
芬兰,拉多姆公司
苏/俄,伊热夫斯克军工厂
苏/俄,伊热夫斯克机器制造厂（Izhmash)，图拉兵工厂
苏/俄,伊热夫斯克机器制造厂，图拉兵工厂
美国,阿玛莱特丰和工业 史特林军备公司 
英国,BEA系统公司，RO防务设计子公司
南非,南非利特尔顿兵工厂
新加坡,新加坡轻兵器工业有限公司
瑞典,瑞典博福斯-埃斯基尔斯图纳公司
西班牙,圣·巴巴拉·奥维亚多兵工厂
瑞典,瑞典卡尔·古斯塔 夫国营兵工厂制造
美国,阿玛利特股份有限公司(美国，伊利诺伊州)
德国,黑克勒-科赫有限责任公司(德国，奥本多夫
美国,柯尔特工业公司
德国,黑克勒-科赫公司(德国，奥本多夫/内喀尔)
俄罗斯, 精密工程研究院(Institute of Precise Engineering，俄罗斯，伊塞夫斯克)
瑞士,SIG集团轻武器分部(瑞士，诺伊豪森)
苏/俄,科夫罗夫基础机械设计局(Kovrov Machinebuilding Plant)
美国,美国海军水上作战中心分部，史密斯企业公司，美国夏伊战术公司，柯尔特防务系统，塞奇国际
美国,柯尔特、FNMI
捷克,捷克布罗德兵工厂
巴西,巴西军用物资工业公司(巴西，Piqucte-sp)
比利时,FN赫斯塔尔公司(比利时，赫斯塔尔)
伊朗,伊朗王国的国营防务工业组织
法国,法国地面武器工业集团(法国，凡尔赛)
美国,美国佛罗里达州枪械公司Kel-Tec数控工业公司
澳大利亚,施泰尔-曼利夏有限公司(奥地利，维也纳)
美国,美国先进武器公司
波兰,阿切尔武器厂
美国,美国雷明顿公司
秘鲁,司马电子元器件
瑞士,Swiss Arms AG
比利时,美国FN公司
中国,中国北方工业集团公司
韩国,韩国国防发展局
以色列,IMI公司
美国,约翰·勃朗宁
美国,雷明顿公司
德国,莱茵金属公司
英国,欧洲运载火箭研制组织 
美国,阿拉斯加州议会
美国,美国、俄罗斯、乌克兰和挪威4个国家联合参股组建的公司
美国,维珍银河公司与新墨西哥州联合投资
日本,日本
巴西,巴西政府
美国,罗克韦尔公司
苏/俄,闪电科学生产联合体(NPO Molniya)
苏/俄,缩尺复合体公司
美国,SpaceX
法国,法国宇航公司(EADS航天运输公司)
美国,通用动力公司(现在的洛克希德—马丁公司)
英国,EADS航天运输公司，欧洲空间局，亚利安公司
苏/俄,yuzhnoe设计局
美国,麦克唐纳-道格拉斯公司/波音公司
中国,中国运载火箭技术研究院
苏/俄,Polyot设计局
英国,桑德斯·罗(saundersRoe)公司／英国皇家航空研究院
日本,日产公司
苏/俄,NPO Energja
法国,法国弹道导弹研究制造公司／法国航天局
苏/俄,OKB-1(Korolev／NPO Energia)
苏/俄,莫斯科热力工程研究所
苏/俄,NPO Mashinostroyentya
英国,欧洲运载火箭研制组织
苏/俄,中央特别设计局，进步国家火箭与航天科研生产中心
苏/俄,南方(Yuzhnoye)设计局
苏/俄,赫鲁尼切夫国家航天科研生产中心
苏/俄,SOD Yuzh /NoyePoYuzhMASh
法国,ELV SpA公司
苏/俄,马可耶夫设计局
英国,Hawkmoor公司/Karrimor SF公司  
中国,中国人民解放军总后勤部
英国,艾科提斯公司
英国,台风公司
美国,电视设备协会（TEA）
英国,斯尔弗曼公司
英国,BCB国际公司(英国，加的夫)
英国,Sonic通信(国际)有限公司(英国)
美国,电视设备协会(TEA)
美国,CCS国际有限公司
英国,英国NP宇航公司
英国,白岩(whiterock)通信有限公司
英国,CQC公司(英国，巴恩斯特布)
英国,Redifon MEL Ltd
法国,马钶公司(法国，阿让特伊)
美国,飞鹰工业公司（Eagie Industries Inc）
美国,FoilForce公司
美国,NAPCO国际公司(美国)
英国,Irvin-GQ公司
英国,戈尔公司
法国,葆旎（Bolle）SAS（法国，Arbent-Oyonnax）
美国,Tenebraex公司(美国)
美国,美国装甲公司
美国,戈尔公司(美国，马里兰州)
英国,BAE系统公司  
英国,Hawkmoor公司/Karrimor SF公司
美国,镜泰(Gentex)公司(美国，宾西法尼亚州)
美国,军事物流(Military Logistics)公司(美国，佛罗里达州
美国,信息安全协会(ISA)(美国)
比利时,比利时光学与精密仪器公司（比利时，奥德纳尔德）
美国,美国杜邦(DuPont)公司
英国,GB Britton公司(英国，布里斯托尔)
美国,美国装甲公司(美国，加利福尼亚州)
英国, BCB国际公司  (英国，加的夫)
法国,泰利斯集团安琴公司
美国,奥塔玛公司
美国,奥塔玛(Altama)鞋业公司(美国，乔治亚州)
美国,飞鹰工业公司
法国,EADS防务和通信系统公司，CAC系统(法国，La chapelle Vendomoise)
英国,Wylam Defence Systems
美国,ITT工业夜视公司(美国)
加拿大,庞巴迪防务公司
加拿大,阿克顿国际公司 
加拿大,阿克顿国际公司（Acton International Inc）(加拿大，魁北克省)
英国,艾科提斯公司(Arktis)  (英国，埃克塞特)
瑞典,Granqvists AB(瑞典，卡乐斯塔德)
加拿大,野马公司
法国,葆旎SAS
比利时,勃朗宁公司(比利时，赫尔斯塔尔)
比利时,比利时光学与精密仪器公司
加拿大,太平洋安全产品公司  (Pacific safetyProducts Inc)(加拿大)
英国,Divex公司(英国)
美国,美国
以色列,塔迪兰通信公司(以色列)
法国,泰利斯光学公司
法国,  萨基姆公司防御和安全分部(法国，巴黎)
法国,萨基姆公司
法国,马钶公司
希腊,Christos J Kourtoglou公司
德国,Schuberth Helme GmbH
以色列, 艾尔塔电子工业公司(以色列）
美国,飞鹰工业公司(美国，密苏里州)
希腊,Enfymatotexniki公司
美国,PA特殊塑料产品公司(美国)
英国,泰利斯通信公司(英国，克劳利）
瑞士,鲁加-托梅公司(瑞士，史毕兹布)
瑞士,布鲁加—托梅公司(瑞士，史毕兹)
美国,奈特军械公司（美国，佛罗里达州）
美国,耐特军械公(美国，福罗里达州)
英国,戴维斯(Davies)工业通信公司(英国)
美国,莫斯伯格父子公司
美国,C-More Systems
美国,雷明顿兵工厂
南非,南非特维洛兵工厂
意大利,伯奈利公司
比利时,国营赫斯塔尔（Fabrique Nationale de Herstal，FN）
美国,美国速射武器公司
美国,温彻斯特连发武器公司
中国,黑龙江雄鹰警用器材厂
苏/俄,中央精密机械工程研究院，前苏联精密机械工程研究院
苏/俄,伊热夫斯克机器制造厂(IZHMASH)
韩国,韩国大宇精密工业公司
瑞士,（W + F伯尔尼）W+F Bern
法国,圣埃蒂安武器制造厂
奥地利,奥地利斯太尔-曼利彻尔公司
奥地利,斯太尔-曼利夏公司
比利时,Fabrique Nationale
法国,法国圣·艾蒂安武器制造厂
日本,小石川炮兵工厂
苏/俄,前苏联土拉兵工厂（Tula）
日本,小仓兵工厂，大阪兵工厂以及广岛东洋工业等主要兵工厂
奥地利,斯太尔公司
意大利,意大利都灵兵工厂
美国,美国儒格-斯特姆公司（Sturm Ruger & Company Incorporated）
英国,英国兵工部门
英国,英国空军部门
英国,英国皇家兵工厂
英国,英国皇家轻兵器工厂
德国,毛瑟兵工厂
前南斯拉夫,:前南斯拉夫扎斯塔瓦武器公司
德国,HK公司
中国,台湾联勤205厂
英国,英国皇家轻武器工厂
中国,中国湖北枪炮厂（后称汉阳兵工厂）
美国,美国洛克希德公司
美国,美国沃特公司
美国,寇蒂斯公司
美国,塞斯纳公司
美国,洛克希德
中国,南京航空航天大学、西北工业大学、湖江机器厂
美国,雷声系统公司，庞巴迪公司
日本,立川飞行机株式会社
日本,三菱重工业
德国,福克-沃尔夫
日本,川崎重工业
日本,海军航空技术厂
日本,立川飞机公司，川崎重工
苏/俄,雅科航空器集团
苏/俄,波利卡波夫设计局 
美国,波音飞机制造公司
美国,格鲁曼公司
美国,美国波音公司
日本,日本国际航空工业
苏/俄,卡莫夫设计局
法国,哈尔滨飞机工业集团有限责任公司、欧洲直升机公司
中国,哈尔滨飞机制造公司
美国,贝尔
苏/俄,前进飞机制造厂
美国,希勒飞机公司
美国,贝尔直升机公司
波兰,波兰直升机制造商（PZL Swidnik）
美国,西科斯基（原产），皮亚塞茨基公司（改装及试验）
美国,麦道飞机公司（MD）
中国,昌河飞机工业集团公司
中国,中国哈尔滨航空工业（集团）有限公司
英国,空中客车公司
美国,波音民用飞机集团
苏/俄,伊尔公司
美国,道格拉斯公司
中国,成都飞机公司，巴基斯坦航空综合企业
美国,洛克希德马丁公司
中国,沈阳飞机公司
英国,欧洲战斗机公司
美国,美国道格拉斯公司
美国,美国道格拉斯飞机公司
美国,美国原北美航空公司(已并入罗克韦尔国际飞机公司)
美国,麦克唐纳公司
美国,北美航空，瑞安航空
美国,钱斯沃特公司
美国,美国诺斯罗普公司
美国,格鲁曼飞机制造厂
美国,康维尔飞机公司
美国,共和飞机制造公司（舍维尔斯基）
美国,共和飞机制造公司
中国,沈阳飞机工业集团
德国,福克-沃尔夫飞机制造厂
苏/俄,前苏联苏霍伊设计局
日本,中岛飞行机株式会社
德国,亨舍尔
日本,川崎重工
德国,阿拉度公司
日本,中岛飞机公司
德国,阿尔巴特罗斯飞机厂
德国,亨克尔公司
德国,梅塞斯密特公司（Messerschmitt）
德国,容克斯
日本,中岛重工
德国,哥达（Gothaer Waggonfabrik）
德国,梅塞施米特公司
德国,梅塞施密特
日本,三菱重工，洛克希德·马丁
日本,爱知飞机公司
英国,泛那维亚财团
日本,三菱集团，富士重工
德国,梅塞施密特公司（Messerschmitt）
日本,日本中岛飞机公司 
美国,通用动力公司
日本,立川飞机制造厂，满洲飞机制造厂
苏/俄,雅克列夫设计局
苏/俄,苏联雅克福列夫设计局
苏/俄,雅克局
英国,英国维克斯-超级马林公司
英国,超级马林飞机公司
英国,费尔雷航空股份有限公司
英国,布莱克本飞机有限公司（Blackburn Aircraft Ltd）
英国,普顿保罗飞机公司
英国,霍克飞机公司
英国,英国弗兰德公司(Folland)
美国,寇帝斯飞机与发动机公司
英国,霍克公司
苏/俄,雅克设计局
英国,布利斯托尔飞机公司
苏/俄,雅克福列夫设计局
英国,索普威思航空公司
德国,福克飞机厂
意大利,雷贾那公司
德国,巴伐利亚飞机制造厂
德国,福克公司
波兰,波兰PZL航空制造集团
波兰,PZL航空制造集团
波兰,波兰PWS飞机制造厂
苏/俄,波利卡波夫设计局
苏/俄,米高扬设计局
苏/俄,米高扬-古列维奇飞机设计局
苏/俄,拉沃奇金设计局
苏/俄,米格设计局
美国,柯蒂斯飞机与发动机公司
印度,印度斯坦航空工业有限公司
以色列,以色列飞机工业公司 
法国,达索公司
法国,斯帕德公司
美国,共和飞机公司
瑞典,Saab 飞机公司
美国,洛克希德、臭鼬鼠工厂
美国,麦道公司
美国,格鲁曼飞机工程公司
中国,上海飞机制造厂，成都飞机工业有限责任公司，沈阳飞机工业集团有限公司，西安飞机工业集团有限公司
中国,西安飞机工业(集团)有限责任公司
美国,波音公司商务喷射机部门
中国,西安飞机工业（集团）有限责任公司
乌克兰,俄罗斯飞机制造商Aviakor
荷兰,荷兰福克公司
巴西,巴西航空工业公司
乌克兰,俄罗斯沃罗涅什飞机制造公司
加拿大,加拿大庞巴迪宇航公司
加拿大,庞巴迪宇航公司
苏/俄,图波列夫设计局
美国,美国北美航空公司
美国,道格拉斯飞机公司
美国,赫利奥公司
美国,诺思罗普公司
日本,爱知航空机
苏/俄,伊留申设计局
苏/俄,苏霍伊设计局
英国,英国航太波音
英国,欧洲战斗教练和战术支援飞机公司
美国,北美航空公司
美国,美国仙童公司
美国,北美公司
美国,伏尔提公司
新西兰,太平洋航宇公司
瑞士,瑞士派士飞机有限公司
瑞典,瑞典萨伯-斯康尼亚公司
美国,美国比奇公司(BeechAircraft雷声公司的前身)
英国,英国BAE系统公司
美国,美国派珀（Piper）飞机公司
法国,法国航宇公司（SOCATA）
日本,日本川崎重工集团
西班牙,欧洲航空防务与航天公司(EADS)，西班牙CASA军用飞机公司
印度,印度斯坦航空工业公司
法国,法国达索公司，德国道尼尔公司
韩国,韩国航空工业公司（大宇）
韩国,韩国航空工业公司
阿根廷,阿根廷军用航空（FMA）
智利,智利国家航空公司，美国派珀飞机公司
美国,美国塞斯纳公司
英国,英国航空航天公司(BAE) 
日本,富士重工业
瑞典,巴基斯坦航空工业公司
罗马尼亚,罗马尼亚克拉约瓦飞机公司
法国,Flugzeug Union Sud
苏/俄,罗马尼亚航星公司
苏/俄,雅科夫列夫设计局
法国,法国原富加公司(现已并入法国国营航宇工业公司)
法国,达索航太，芬梅卡尼卡
中国,洪都航空工业集团
英国,英国无人机发动机有限公司
美国,美国桑德斯公司
美国,航宇环境公司
美国,诺思罗普-格鲁曼公司
奥地利,希伯尔电子有限公司
澳大利亚,科达拉(Codarra)高级系统公司
中国,中国西安(ASN)技术集团
美国,通用动力公司，格鲁曼公司
中国,图波列夫公司（图-154）
德国,德国亨克尔公司
美国,贝尔公司
美国,北美航空
美国,诺斯洛普·格鲁门公司
美国,联合公司
美国,美国联合公司
美国,格伦马丁公司
美国,格鲁曼公司，通用汽车公司
美国,诺思罗普公司（道格拉斯公司）
美国,佛罗里达航空股份有限公司
德国,费舍尔
德国,齐柏林—斯卡登（Zeppelin-Staaken）所
德国,亨克尔
德国,道尼尔飞机公司 
德国,阿拉多工厂
德国,梅塞施密特公司
德国,道尼尔公司
德国,亨克尔飞机制造厂 
德国,容克斯飞机与发动机制造厂 
德国,亨克尔飞机公司
德国,亨舍尔飞机有限公司 
德国,容克
日本,爱知时计电机株式会社
日本,爱知时计电机
日本,三菱重工，中岛重工
日本,三菱重工 
日本,川崎重工 
美国,寇蒂斯飞机及发动机公司
法国,阿米奥公司
波兰,PWS航空工厂
意大利,飞雅特公司
意大利,CANT
苏/俄,苏霍伊设计局联合公司
苏/俄,苏霍伊设计局 
苏/俄,伊留申设计局 
美国,柯蒂斯-莱特公司
美国,比奇飞机公司
美国,凯撒-弗雷泽（Kaiser-Frazer）公司、仙童（Fairchild）公司
美国,湾流公司
美国,麦克唐纳-道格拉斯公司
美国,美国西科斯基（Sikorsky）公司
中国,南昌飞机制造公司
西班牙,西班牙卡萨（CASA）公司
英国,肖特兄弟和哈兰德有限公司
苏/俄,斯摩棱斯克（Technoavia）
英国,英国航空贸易公司
苏/俄,俄罗斯/苏联公民通用飞机制造
中国,汉翔航空工业股份有限公司
英国,肖特兄弟公司
美国,空中客车军用飞机公司
中国,陕西飞机制造公司
苏/俄,伊留申航空集团
英国,欧洲直升机工业集团
苏/俄,俄罗斯乌兰航空生产联合公司
英国,韦斯特兰公司，法国航宇公司
苏/俄,喀山直升机厂和乌兰乌德飞机厂
美国,卡曼飞机公司
法国,南方飞机公司、法国航太
中国,中航工业直升机所和中航工业昌飞公司
法国,国营航宇工业公司
法国,欧洲直升飞机公司
英国,韦斯特兰公司
美国,美国 西科斯基公司
美国,美国西科斯基飞机公司
德国,福克·阿奇利斯飞机制造所
巴西,巴西航空工业
中国,中国哈尔滨飞机制造公司
美国,多尼尔公司
美国,美国亚当
美国,亚当飞机工业（AAI）
法国,索卡塔(SOCATA)公司
法国,法国航宇工业集团
波兰,安东诺夫设计局波兰航空制造厂
美国,塞斯纳飞行器公司（Cessna）
法国,法国兰斯飞机制造公司
苏/俄,阿穆尔河畔共青城飞机生产联合体
瑞士,瑞士派士公司
澳大利亚,澳大利亚政府飞机工厂
捷克,捷克飞机公司
捷克,捷克Let公司
加拿大,加拿大庞巴迪公司
美国,美国比奇飞机公司
法国,法国Robin
法国,法国Robin公司
捷克,莱特
美国,穆尼飞机公司
美国,美国格鲁曼公司，湾流宇航公司
美国,Lake公司
德国,Extra飞机公司
美国,Piper飞机公司
美国,塞斯纳飞行器公司
加拿大,奥地利钻石飞机制造有限公司
美国,赛斯纳飞行器公司
日本,新明和公司
苏/俄,雅科夫列夫  
苏/俄,俄罗斯斯摩棱斯克航空工厂
美国,诺斯罗普·格鲁门公司
美国,格鲁门公司
美国,劳伦斯·利弗莫尔研究所
美国,埃隆卡公司
美国,伯林纳·乔伊斯（Berliner Joyce）公司
美国,格伦·马丁公司
美国,比奇飞行器
美国,美国史丁森公司
美国,美国沃特公司（Vought）
美国,康维尔公司
美国,美国史丁森飞机公司
美国,美国泰勒公司
美国,斯佩里飞机制造公司
美国,美国托马斯-摩尔斯公司
苏/俄,安东诺夫设计局
美国,通用航空公司（北美航空公司前身）
美国,马丁公司
美国,美国佩帕公司
德国,都尼尔艾威尔兰达Potez
德国,库特.坦克
德国,Fieseler公司
日本,Aichi
德国,德国阿拉多飞机制造厂
中国,台湾航空工业发展中心
德国,Arado
日本,爱知飞行社
日本,立川飞机公司
苏/俄,波利卡波夫 
德国,克虏伯公司
德国,德国克虏伯公司
瑞典,瑞典博福斯公司
苏/俄,苏联彼得洛夫设计局
美国,波音
英国,AirTanker集团
英国,英国皇家飞机署
美国,洛斯阿拉莫斯实验室
美国,洛斯·阿拉莫斯国家研究所
英国,英国原子武器研究院
比利时,梅卡公司
美国,弹道导弹防御局
美国,郎宁航空工程公司
美国,美国格鲁曼公司
美国,海军飞机制造厂，道格拉斯公司，马丁公司，凯斯通公司
法国,达索（布雷盖）
日本,川西航空机工厂
日本,九州公司
英国,BAE(HSA)
中国,陕西飞机工业（集团）有限公司
美国,海军飞机制造厂
英国,休泼马林（Supermarine）.
美国,霍尔制铝公司
英国,休泼马林(Supermarine)公司
中国,国防部第五研究院
中国,中国航天科工集团第二研究院
美国,马丁飞机公司
美国,格伦·L·马丁公司
中国,中山科学院
美国,美国洛克希德·马丁公司
中国,北京工业大学（现北京理工大学）
美国,诺斯罗普公司
南非,南非迪纳尔公司
南非,南非丹尼尔公司
印度,印度国防研发组织
美国,美国洛克希德·马丁公司和雷锡恩公司
美国,雷锡恩公司
美国,美国休斯公司
苏/俄,俄罗斯机械制造设计局
苏/俄,俄罗斯科洛姆纳工程设计局
日本,日本防卫厅技术研究部
苏/俄,俄罗斯图拉仪器设计局
伊朗,伊朗国有航空工业公司
埃及,CONSEN集团，德国MBB公司，意大利公司SNIA
中国,中国火箭发动机技术研究院
中国,1986年
埃及,Sakr工厂
德国,德国陆军兵器局、多恩伯格与冯·布劳恩研发团队
德国,鲁尔钢铁公司
苏/俄,涅波别季梅机械制造设计局
英国,英国精巧工程公司和英国飞机公司
阿根廷,阿根廷军事科学技术研究院
以色列,以色列飞机工业公司
日本,日本川崎重工业公司
南非,肯特隆公司
瑞典,博福斯公司
美国,美国洛拉航空公司
法国,法国北方航空公司
中国,中国航天科工集团公司（CASIC）三江（Sanjiang）空间集团
英国,英国肖特兄弟有限公司
英国,英国肖特公司
韩国,伊诺特公司
苏/俄,Toporov OKB-134特种工程设计局
苏/俄,依热夫斯基机械厂
中国,航天新乐有限公司和西安天伟电子系统工程有限公司联合研制
中国,中山科学研究院
中国,国防部五院
美国,雷神公司
苏/俄,火炬科研生产联合体
苏/俄,前苏联安泰公司
美国,罗克韦尔国际公司
德国,莱茵金属公司研制
德国,EMW公司
德国,德国航空航天研究部
德国,亨舍尔公司
苏/俄,图拉仪器制造设计局
苏/俄,金刚石导弹设计局
意大利,意大利MBDA公司
中国,中国江南航天工业集团
日本,东芝公司
中国,七机部二院，上海机电二局
中国,上海机电二局
苏/俄,拉沃契金地对空导弹设计局
苏/俄,金刚石中央设计局
苏/俄,米高扬飞机设计局
法国,法国地面兵器工业集团
法国,法国工业研究和制造中心
美国,皇家军械研究发展中心
奥地利,南士的里亚金属工业公司
瑞典,瑞典FFV公司军械部
德国,联邦德国诺贝尔炸药股份公司
意大利,意大利特希诺韦公司
美国,美国匹克汀尼兵工厂
美国,美国皇家武器装备研究和发展中心
英国,英国亨廷工程有限公司
意大利,意大利米萨公司
美国,美国霍尼韦尔公司
德国,德国梅塞施米特·伯尔科·布洛姆股份有限公司
意大利,意大利凡尔赛勒公司
美国,沃特夫利特兵工厂
德国,德国莱茵金属公司
以色列,索尔塔姆有限公司
美国,卡曼公司
意大利,意大利阿古斯塔公司
法国,法国航宇公司
法国,欧洲直升机法国公司
美国,美国贝尔公司
英国,法国航宇公司
美国,西科斯基公司
中国,中航工业
英国,威斯特兰公司
中国,哈飞公司，南方公司
中国,中国航空研究院
法国,欧洲直升机公司、中国国家航空技术进出口公司（CATIC）、哈尔滨航空工业（集团）有限公司（HAI）、新加坡科技宇航有限公司（STAero）
中国,哈尔滨飞机工业公司
意大利, 阿古斯塔·韦斯特兰
美国,贝尔直升机
英国,阿古斯塔·韦斯特兰公司和贝尔公司
法国,法国航宇
美国,贝尔公司、三星公司
法国,欧洲直升机公司
法国,欧洲直升机公司（法国航宇公司）
美国,勃兰特利国际公司
