型宽,名称,鱼雷,大类,编制,舰长,武器装备,潜航深度,水下排水量,制造厂,_id,图片,次型,满载排水量,活动范围,服役时间,前型,下水时间,产国,满排吨位,类型,建造时间,同型,简介,航速,自持力,水上排水量,现状,续航距离
10米,汉级（091型）长征5号（405）核动力攻击潜艇,NULL,舰船舰艇,75人,106米,NULL,200米,5550吨,NULL,{'$oid': '5cc931e5831b973d657f1778'},,NULL,NULL,NULL,1990年12月,NULL,NULL,中国,5000-10000吨,核潜艇,NULL,NULL,,25节,NULL,4500吨,NULL,NULL
12.9米,“海狼”级,NULL,舰船舰艇,133人,107.6米,NULL,610米,9142吨,NULL,{'$oid': '5cc931e5831b973d657f1779'},http://images.huanqiu.com/sarons/2013/08/eb2b5a622ca8d234c678ddc922895932.jpg,维吉尼亚级,NULL,北冰洋,1997年7月19日（首艘）,洛杉矶级,1995年6月24日（首艘）,美国,5000-10000吨,核潜艇,1989年10月25日（首艘）,3艘,"
海狼级潜艇（英语：Seawolf-class submarine）是服务于美国海军的核动力快速攻击潜艇，设计任务是在各大洋与北冰洋冷水对抗任何苏联现有与未来核潜艇，并取得制海权的反潜猎杀核潜艇，在设计上堪称是潜艇进行反潜作战的极致产物。但由于建造期间苏联解体，冷战结束。美国军事预算缩水，国防工业普遍不景气，加之本级艇革新技术运用较多，技术经验匮乏，导致建造期间事故频发，预算超标，致使原本预计建造29艘的海狼级只建造了三艘便宣告停工。
",39节,NULL,7568吨,在役,NULL
11米,093型商级攻击型核潜艇,NULL,舰船舰艇,140人,106米,NULL,400米,8000吨,葫芦岛的渤海造船重工业公司,{'$oid': '5cc931e6831b973d657f177a'},http://images.huanqiu.com/sarons/2013/11/45bb8b7d63cf62e76261e41b176afadb.jpg,095型核潜艇,NULL,NULL,2007年年底,091型核潜艇,2002年12月,中国,5000-10000吨,核潜艇,上世纪90年代中期,NULL,,30节,NULL,5000吨,现役,NULL
10米,长征2号潜艇(402),NULL,舰船舰艇,75人,98米,NULL,300米,5550吨,葫芦岛船厂,{'$oid': '5cc931e6831b973d657f177b'},,NULL,NULL,NULL,1980年,NULL,NULL,中国,5000-10000吨,核潜艇,NULL,NULL,"
长征2号潜艇(402)属于091型(汉级)核潜艇中的一员，1970年，中国第一艘核潜艇091型“长征1号”研制成功，是中国最早下水的一级核动力潜艇。长征2号潜艇(402)也随之研制出来并于1980年开始进入中国北海舰队服役。
",25节,NULL,4500吨,已退役,NULL
13米,094级战略核潜艇,NULL,舰船舰艇,120人,133米,NULL,300米,9000吨,渤海造船厂,{'$oid': '5cc931e6831b973d657f177c'},,NULL,NULL,中国,2006年,092型核潜艇,2002年,中国,5000-10000吨,核潜艇,1999年,096型核潜艇,,26节,NULL,8000吨,服役,NULL
10米,汉级（091型）长征4号（404）核潜艇,NULL,舰船舰艇,75人,106米,NULL,200米,5550吨,NULL,{'$oid': '5cc931e6831b973d657f177d'},,NULL,NULL,NULL,1987年12月27日,NULL,NULL,中国,5000-10000吨,核潜艇,NULL,NULL,"
“汉”级(091型)攻击型核潜艇是中国第一代攻击型核潜艇(SSN)，也是目前中国仅有的一级攻击型核潜艇。“汉”级核潜艇共五艘，均部署在北海舰队。404艇（长征4号），“汉”级(091型)攻击型核潜艇，1987年下水。
",NULL,NULL,4500吨,NULL,NULL
10米,夏级（092型）长征6号（406）,NULL,舰船舰艇,100人,120米,NULL,400米,8000吨,葫芦岛船厂,{'$oid': '5cc931e6831b973d657f177e'},,094型核潜艇,NULL,NULL,1983年8月,091型核潜艇,1981年4月30日,中国,5000-10000吨,核潜艇,1970年,NULL,"
092型潜艇（北约代号：夏级，英文：Xia-class）是中华人民共和国海军的第一代弹道导弹核潜艇，该型艇由攻击潜艇091型核潜艇扩大船壳改进而来，在艇体上插入弹道导弹舱段。1970年设计方案完成，开始筹备建造，1981年4月30日下水，1983年8月正式交付海军服役，1988年9月该型潜艇水下发射潜射弹道导弹实验成功。092型核潜艇完成了中华人民共和国海基核力量“从无到有”的突破，成为继美、苏、英、法之后，第五个掌握海基核力量技术能力的国家。2009年4月23日，该型潜艇在中国海军60周年阅兵仪式上首次公开亮相。
",22节,NULL,6500吨,一艘服役中,NULL
10米,092夏级战略导弹核潜艇,NULL,舰船舰艇,140人,120米,NULL,300米,5500吨,葫芦岛船厂,{'$oid': '5cc931e6831b973d657f177f'},,094型核潜艇,NULL,西太平洋沿岸地区,1983年8月,G级潜艇,1981年4月,中国,5000-10000吨,核潜艇,1978年,官方数量1，但有推测为4,,20节,NULL,4500吨,NULL,NULL
10.1米,“洛杉矶”（LosAngeles）级核动力攻击型潜艇,NULL,舰船舰艇,NULL,110.3米,NULL,1600米,6927吨,纽波特纽斯造船公司，通用动力电船公司,{'$oid': '5cc931e7831b973d657f1780'},http://images.huanqiu.com/sarons/2013/07/a6dc8c8d4f7d203d0f0bf1c02f39a5c1.jpg,“海狼”级攻击型核潜艇,NULL,NULL,1976年11月13日,“鲟鱼”级攻击型核潜艇,NULL,美国,5000-10000吨,核潜艇,1972年2月8日,62艘,,32节,NULL,6082吨,42艘仍在服役,NULL
10米,汉级（091型）长征3号（403）潜艇,NULL,舰船舰艇,75人,98米,NULL,300米,5500吨,渤海造船厂,{'$oid': '5cc931e7831b973d657f1781'},,NULL,NULL,北海,1984年12月25日,NULL,1983年10月31日,中国,5000-10000吨,核潜艇,1971年10月27日,NULL,"
汉级（091型）长征3号（403）潜艇属091型攻击型核潜艇，北约代号“汉”级，是中国第一代攻击型核潜艇(SSN)。部署在北海舰队。2009年4月23日，该型潜艇在中国海军60周年阅兵仪式上公开亮相。
",25节,NULL,4500吨,服役中,NULL
