型宽,名称,大类,编制,舰长,潜航深度,关注度,制造厂,_id,图片,次型,满载排水量,活动范围,下水时间,服役时间,前型,产国,满排吨位,类型,建造时间,同型,简介,航速,自持力,水上排水量,现状,续航距离
85米,“北方”(Polnochny)级中型登陆舰,舰船舰艇,NULL,73米,NULL,NULL,NULL,{'$oid': '5cc931e0831b973d657f174a'},http://images.huanqiu.com/sarons/2013/07/993d9d138a355b8a9025ac3b238dc38a.jpg,NULL,800吨,NULL,NULL,1967年,NULL,苏/俄,500-2000吨,两栖作战舰艇,NULL,NULL,,19节,NULL,NULL,NULL,18节航速下航程1000英里
31米,独岛级两栖攻击舰,舰船舰艇,700人,199米,NULL,(5分),韩进重工业公司,{'$oid': '5cc931e0831b973d657f174b'},http://images.huanqiu.com/sarons/2014/03/227f37f06c56794a469e5c5e4013e78b.jpg,NULL,18800吨,NULL,2005年7月12日,NULL,NULL,韩国,10000-50000吨,两栖作战舰艇,2002年10月底,NULL,"
 
",23节,NULL,NULL,现役，在建,NULL
42.7米,“黄蜂”级两栖攻击舰,舰船舰艇,NULL,257.3米,NULL,NULL,英格尔斯造船公司,{'$oid': '5cc931e0831b973d657f174c'},http://images.huanqiu.com/sarons/2013/07/3a480b01d9b660e7c3a9ad4e111bfa04.jpg,美洲级两栖攻击舰,40650吨,NULL,1987年8月4日,1989年7月6日,塔拉瓦级两栖攻击舰,美国,10000-50000吨,两栖作战舰艇,1985年5月30日,“黄蜂”号，“埃塞克斯”号，“卡尔萨基”号，“拳师”号，“巴坦”号，“好人理查德”号，“硫磺岛”号，“马肯岛”号,"
“黄蜂”（Wasp）级（LHD-1）是一级多用途两栖攻击舰，也是美海军首次利用新型气垫登陆艇和改进的“鹞”式垂直短距起降飞机支援登陆作战的舰艇。它是为取代90年代退役的“硫磺岛”级两栖攻击舰而发展的，成为美海军20世纪90年代和21世纪初的一级主要两栖战舰。
",22节,NULL,NULL,在役,18节航速下航程9500英里
25.8米,“大隅”(Osumi)级船坞式两栖登陆舰,舰船舰艇,NULL,178米,NULL,NULL,三井重工玉野造船厂,{'$oid': '5cc931e0831b973d657f174d'},http://images.huanqiu.com/sarons/2013/07/eab04531aadd4e7ad78e52a34e55388b.jpg,NULL,14000吨,太平洋,1996年11月18日 ,1998年3月,三浦级坦克登陆舰,日本,10000-50000吨,两栖作战舰艇,1994年10月,“大隅”号(LST4001)，“下北”号(LST4002)，“国东”号(LST 4003),"
“大隅”级登陆舰（Osumi-class landing ship），功能上接近两栖突击舰。日本海上自卫队将其定义为“运输舰”，但是它并不具有前开式战车进出大门，也不能直接登陆沙滩。本级舰的建造始于90年代初日本柬埔寨维和行动之后的“海外派遣部队输送母舰计划”，用以取代之前的“三浦”级坦克登陆舰和“渥美”级坦克登陆舰。一般认为海上自卫队使用此型登陆舰是为了搜集小型航母必须具备的相关经验，为更大型的直通式飞行甲板船舰累积相关基础。
",22节,NULL,NULL,现役,未公布
30.5米,“奥斯汀”(Austin)级船坞式两栖运输舰,舰船舰艇,NULL,173.8米,10米,NULL,NULL,{'$oid': '5cc931e0831b973d657f174e'},http://images.huanqiu.com/sarons/2013/07/ee49851f67442d6dfd98be7e9c03e6f8.jpg,NULL,17244吨,NULL,1968年,1969年,NULL,美国,10000-50000吨,两栖作战舰艇,1965年2月6日,NULL,"
奥斯汀级船坞登陆舰（Austin class）是美国60年代建造的两栖船坞登陆舰级别，并作为回收船全程参加了“阿波罗12”太空计划和“阿波罗14”和“阿波罗15”计划的部分回收工作，奥斯汀级两栖坞式攻击舰同时也是一系列远征战斗系统进入舰队的试验平台，2000年后逐渐退役，其中两艘用每艘5000万美金售予印度，目前母港设于印度维沙卡帕特南。
",21节,NULL,NULL,两艘在印度服役,20节航速7700英里
20.5米,“圣·乔治奥”(San Giorgio)级船坞式两栖运输舰,舰船舰艇,NULL,137米,NULL,NULL,NULL,{'$oid': '5cc931e0831b973d657f174f'},http://images.huanqiu.com/sarons/2013/07/e28c833068d347cec16ad2b11fb22b3c.jpg,NULL,8000吨,NULL,1987年2月25日,1987年10月9日,NULL,意大利,5000-10000吨,两栖作战舰艇,1985年6月27日,“圣·乔治奥”号(L9892)，“圣·马尔科”号(L9893)，“圣·朱斯托”号(L9894),"
“圣乔治奥”级运输舰，是上世纪80年代意大利建造的船坞式两栖运输舰。首舰于1985年6月27日动工建造，1987年2月25日下水，1987年10月9日服役。该级共建成3艘，由海军使用，主要执行救灾任务，廉价的通用型设计受到许多国家海军的青睐。
",21节,NULL,NULL,在役,16节航速下航程7500英里
25.6米,“惠德贝岛”(whidbeyIsland)级/“哈珀斯费里”级船坞登陆舰,舰船舰艇,NULL,185.8米,NULL,NULL,洛克希德造船公司,{'$oid': '5cc931e0831b973d657f1750'},http://images.huanqiu.com/sarons/2013/07/44f3790a29588864d343e58db9f1108d.jpg,哈珀斯费里级,15939吨,NULL,1983年6月10日,1985年2月9日,安克拉治级,美国,10000-50000吨,两栖作战舰艇,1981年8月4日,NULL,"
""惠德贝岛""级船坞登陆舰是美国海军为适应新形势下两栖战的需要而开发的一种功能多、性能先进的两栖作战舰只。该级舰是美海军最新的船坞登陆舰，是当今和下世纪初美海军登陆战舰艇主力之一，是美国海军陆战队未来一段时间内进行远程兵力投送的主力舰艇。
",22节,NULL,NULL,现役,18节航速下航程8000英里 
32.9米,“蓝岭”级两栖指挥舰,舰船舰艇,NULL,194米,NULL,NULL,美国费城海军造船厂,{'$oid': '5cc931e0831b973d657f1751'},http://images.huanqiu.com/sarons/2013/07/b444a8432c1f77d2701b92a10382334b.jpg,NULL,18372吨,NULL,1969年1月,1970年,NULL,美国,10000-50000吨,两栖作战舰艇,1967年,“蓝岭”号（LCC 19），“惠特尼山”号（LCC 20）,"
美国“蓝岭”级两栖指挥舰是二战以来设计的最大的指挥舰。在两栖作战中，能提供海、空、陆综合指挥控制设施。该级建成两艘“蓝岭”号（LCC 19），“惠特尼山”号（LCC 20），现分配到第七和第六舰队。
",32节,NULL,NULL,在役,16节航速时航程13000英里
25米,“鹿特丹/加里西亚”级两栖登陆舰,舰船舰艇,NULL,166米,NULL,NULL,荷兰皇家须尔德造船厂,{'$oid': '5cc931e1831b973d657f1752'},http://images.huanqiu.com/sarons/2013/07/a8280cd489861dba371bfeba05f5ffb4.jpg,NULL,12750吨,大西洋,1997年2月,1998年4月,NULL,荷兰,10000-50000吨,两栖作战舰艇,1994年,“鹿特丹”号（L800），“约翰·德·维特”号（L801），“加里西亚”号（L51），“卡斯提拉”号（L 52）,"
“鹿特丹”级两栖船坞登陆舰由荷兰与西班牙联合设计，荷兰皇家Schelde公司造船厂负责制造，首舰“鹿特丹”号（L800）于1997年下水，1998年开始服役，2004年3月，“鹿特丹”号在非洲利比里亚参加了联合国行动。
",18节,NULL,NULL,现役,12节航速时航程6000英里
34.4米,“海洋”(0cean)级两栖攻击舰,舰船舰艇,NULL,203.4米,NULL,NULL,维克斯造船与工程有限公司,{'$oid': '5cc931e1831b973d657f1753'},http://images.huanqiu.com/sarons/2013/07/3a1d6e65f7e5f35a8a93194714f53974.jpg,NULL,21758吨,NULL,1994年10月11日,1998年9月30日,NULL,英国,10000-50000吨,两栖作战舰艇,1994年5月30日,NULL,"
“海洋”级是继“无恐”级两栖船坞运输舰之后发展的一级最新船坞运输舰，于1994年5月30日由维克斯造船有限公司开始着手建造，并于1998年9月30日开始服役。
",19节,NULL,NULL,在役,15节航速时航程8 000英里
40.2米,“塔拉瓦”级两栖攻击舰,舰船舰艇,NULL,254.2米,NULL,NULL,英格尔斯船厂,{'$oid': '5cc931e1831b973d657f1754'},http://images.huanqiu.com/sarons/2013/07/42b053310d9a1883654e2544642a2ecc.jpg,NULL,39967吨,NULL,1973年12月,1976年5月,NULL,美国,10000-50000吨,两栖作战舰艇,1971年1月,“塔拉瓦”号，“塞班”号，“贝劳伍德’号，“拿骚”号，“佩莱利乌”号（原“岘港”号）,"
塔拉瓦级通用两栖攻击舰是美国海军的两栖作战舰艇，它配载登陆艇、两栖车辆、直升机等，兼有两栖攻击舰和运输舰的作战能力。“塔拉瓦”级舰的主要任务是运载海军陆战队的一个加强营(约2000人)及其装备，以支援登陆战。由于舰上设有指挥控制部位，并安装先进的电子设备，因此还具有指挥舰的作用。
",24节,NULL,NULL,退役,20节航速时航程10 000英里
15.6米,玉康级大型登陆舰,舰船舰艇,NULL,119米,NULL,NULL,NULL,{'$oid': '5cc931e1831b973d657f1755'},http://images.huanqiu.com/sarons/2013/11/50a302668a4b98e6ad38cd2384d7895c.jpg,NULL,4170吨,NULL,1978年3月,NULL,NULL,中国,2000-5000吨,两栖作战舰艇,1979年,NULL,,20节,20天,3172吨,NULL,3000海里
15.9米,“蟾蜍”级坦克登陆舰,舰船舰艇,NULL,112.5米,NULL,NULL,NULL,{'$oid': '5cc931e1831b973d657f1756'},http://images.huanqiu.com/sarons/2013/07/8afbb5ca94df2b53d473718fe4f4fa36.jpg,NULL,4400吨,北冰洋太平洋,NULL,NULL,“鳄鱼”级,苏/俄,2000-5000吨,两栖作战舰艇,1974年,NULL,"
“蟾蜍”（Ropucha）级是前苏联在1965年开始建造的首批大型登陆舰“鳄鱼”级基础上发展而来的坦克登陆舰。
",17.5节,NULL,NULL,NULL,12节航速下6 000英里
31.9米,“圣•安东尼奥”级两栖运输舰,舰船舰艇,NULL,208.4米,NULL,NULL,诺斯罗普·格鲁曼公司,{'$oid': '5cc931e1831b973d657f1757'},http://images.huanqiu.com/sarons/2013/07/6c5ace1159f22df4b5f95af142be407f.jpg,NULL,25300吨,NULL,NULL,2006年1月14日,特伦顿级两栖船坞运输舰，奥斯汀级两栖船坞运输，克利夫兰级两栖船坞运输，克雷奇级船坞登陆舰，新港级坦克登陆舰，查尔斯顿级两栖货船,美国,10000-50000吨,两栖作战舰艇,2003年7月12日,圣•安东尼奥”号，“新奥尔良”号，“梅萨维德”号，“格林贝”号，“纽约”号，“圣地亚哥”号，”安克拉治”号，阿林顿”号，“萨默塞特”号,"
圣安东尼奥级（San Antonio class，简称LPD17)两栖船坞登陆舰是美国海军新一代的两栖船坞运输舰，相较于以往的两栖舰艇，圣安东尼奥级着重于减少对友军岸上设施的依赖、降低人力需求、减低作业成本、保留未来改良空间以及提高独力作战能力，特别是自卫能力。2013年4月6日，美国海军第8艘“圣安东尼奥”级两栖船坞登陆舰“阿灵顿”号(LPD24)服役。
",22节,NULL,NULL,在役,暂未公布
12.6米,玉登级中型登陆舰,舰船舰艇,180人,87米,NULL,NULL,NULL,{'$oid': '5cc931e1831b973d657f1758'},http://images.huanqiu.com/sarons/2013/11/3ae48090f7500c302b690b2deb811497.jpg,NULL,1850吨,NULL,NULL,二十世纪九十年代初,NULL,中国,500-2000吨,两栖作战舰艇,二十世纪八十年代,NULL,,17节,NULL,NULL,NULL,NULL
16.4米,玉亭级大型登陆舰,舰船舰艇,NULL,119.5米,NULL,NULL,NULL,{'$oid': '5cc931e1831b973d657f1759'},http://images.huanqiu.com/sarons/2013/11/61c77f99f4c7e800f37a33a1d99ab7a9.jpg,NULL,4800吨,NULL,NULL,NULL,NULL,中国,2000-5000吨,两栖作战舰艇,1992年,NULL,,18节,NULL,NULL,NULL,暂无数据
10米,玉连级（079型）改进型,舰船舰艇,NULL,60.3米,NULL,NULL,NULL,{'$oid': '5cc931e2831b973d657f175a'},,玉连级（079型）改进型,833.4吨,NULL,NULL,NULL,玉连级（079型）中型登陆舰,中国,500-2000吨,两栖作战舰艇,1979年,NULL,"
玉连级（079型）改进型在1979年到1983年间生产。所有31艘“玉连”级都装备于南海舰队，主要任务是支援解放军海军在西沙、中沙和南沙的行动。90年代一些舰只可能已经退役，移交给了预备役部队或转移给了地方运输船队。
",12节,NULL,NULL,NULL,1852千米
9米,271型/玉盆级登陆舰,舰船舰艇,NULL,54米,NULL,NULL,长沙船舶厂,{'$oid': '5cc931e2831b973d657f175b'},,NULL,800吨,NULL,NULL,1989年12月,NULL,中国,500-2000吨,两栖作战舰艇,1984年11月,NULL,"

",13节,15天,614吨,NULL,暂未公布
10.4米,玉海中型登陆舰,舰船舰艇,NULL,58.4米,NULL,NULL,NULL,{'$oid': '5cc931e2831b973d657f175c'},http://images.huanqiu.com/sarons/2013/11/909e900b946b427ddc93f6603aed41e5.jpg,NULL,800吨,NULL,NULL,1995年,NULL,中国,500-2000吨,两栖作战舰艇,20世纪80年代,NULL,,18节,NULL,NULL,NULL,暂未公布
13.8米,玉连级（079型）中型登陆舰,舰船舰艇,NULL,72米,NULL,NULL,NULL,{'$oid': '5cc931e2831b973d657f175d'},http://images.huanqiu.com/sarons/2013/11/975ea025857d75d3fd9cc63389d1911a.jpg,NULL,833吨,NULL,1976年7月22日,二十世纪七十年代中期,NULL,中国,500-2000吨,两栖作战舰艇,1974年5月,NULL,"
079型登陆舰本是在70年代根据越南要求而进行专门设计建造的中小型登陆运输船，要求装200-250吨货，航速12-15节，设备可靠，工艺简单，便于批量建造。1971至1973年完成设计。

  首制舰于1974年5月在广州船厂建造，1976年7月22日下水。此时中越关系已经有所变化，遂决定将其改为国内使用。1976年12月至1977年1月进行了装载登陆试验，证明该艇登、退滩性能好；装载量大，经济性好，并具有超载能力；船型简易、制造方便，适合于批量生产。但耐风浪性较差、航速慢。
",12节,NULL,NULL,NULL,3000海里
28米,昆仑山号船坞登陆舰（998）,舰船舰艇,NULL,210米,7米,NULL,NULL,{'$oid': '5cc931e2831b973d657f175e'},,NULL,17600吨,NULL,2006年12月,2007年11月30日,NULL,中国,10000-50000吨,两栖作战舰艇,2006年6月,NULL,"
昆仑山号船坞登陆舰（Amphibious transport dock “Kunlun Shan”）为中国人民解放军海军071型两栖登陆舰首舰，舷号998，于2007年11月30日服役于南海舰队。昆仑山号船坞登陆舰可承担登陆作战的母船，用以运送士兵、步兵战车、主战坦克等展开登陆作战，也可搭载两栖车辆，并有可供中型直升机起降的甲板平台。

中国第一艘新型船坞运输舰“昆仑山”号的建成标志着中国海军登陆作战样式将发生重大变化。以两栖战舰作为技术经验平台，中国航空母舰的技术积累在这种潜移默化的过程中完成。
",22节,NULL,NULL,NULL,暂未公布
5.4米,067型(玉南级)小型登陆艇,舰船舰艇,NULL,28.6米,NULL,NULL,海军舰艇研究院708所,{'$oid': '5cc931e2831b973d657f175f'},,NULL,128吨,NULL,1964年,NULL,NULL,中国,500吨以内,两栖作战舰艇,1962年,NULL,"
 067型(玉南级)小型多功能登陆艇，主要用于在没有港口的内河和海岸实行两栖攻击和运送车辆、部队和货物。海军舰艇研究院708所于1962年开始设计，1964年第一艘艇在青岛下水，到70年代估计一共制造了280艘，成为当时解放军两栖力量的中坚。
",12节,NULL,NULL,服役中,500海里
10.5米,玉岛级中型登陆舰,舰船舰艇,NULL,79米,NULL,NULL,NULL,{'$oid': '5cc931e2831b973d657f1760'},,NULL,1100吨,NULL,1978年6月,1980年初,NULL,中国,500-2000吨,两栖作战舰艇,1976年9月,NULL,,16节,NULL,NULL,NULL,暂未公布
15.6米,072II（玉亭级）大型登陆舰,舰船舰艇,NULL,119米,NULL,NULL,NULL,{'$oid': '5cc931e2831b973d657f1761'},http://images.huanqiu.com/sarons/2013/11/e3700d4374488b041dce38b2749b8ede.jpg,NULL,4170吨,NULL,NULL,NULL,072型,中国,2000-5000吨,两栖作战舰艇,1983年,NULL,,20节,14天,NULL,NULL,暂无数据
5.2米,069型(玉清级)小型登陆艇,舰船舰艇,NULL,24.8米,NULL,NULL,海军舰艇研究院708所,{'$oid': '5cc931e3831b973d657f1762'},http://images.huanqiu.com/sarons/2013/11/1756fcb64b6069ef61dc9b49cadcc569.jpg,NULL,85吨,NULL,NULL,1966年,NULL,中国,500吨以内,两栖作战舰艇,NULL,NULL,,11.5节,NULL,58吨,服役中,600海里
32.3米,“美国”级两栖攻击舰1号舰(LHA6),舰船舰艇,NULL,257.25米,NULL,NULL,NULL,{'$oid': '5cc931e3831b973d657f1763'},,NULL,44971吨,NULL,2012年6月1日,NULL,NULL,美国,10000-50000吨,两栖作战舰艇,NULL,NULL,"
美国号两栖攻击舰是“美国”级两栖攻击舰1号舰(LHA6)，该舰将取代“塔拉瓦”级两栖攻击舰成为美国海军的新一代两栖攻击舰。美国号两栖攻击舰于2012年6月1日下水，10月20日举行命名仪式，母港在圣迭戈海军基地。
",20节,NULL,NULL,NULL,未公布
9米,271Ⅱ型中型登陆艇,舰船舰艇,NULL,54米,NULL,NULL,长沙造船厂,{'$oid': '5cc931e3831b973d657f1764'},,NULL,500吨,NULL,1975年9月,1975年11月30日,NULL,中国,500-2000吨,两栖作战舰艇,1972年12月,NULL,271Ⅱ型中型登陆艇，首艇于1972年12月开工，1975年9月下水，1975年11月30日交船，于1978年定型。到80年代一共有数百艘该级登陆艇被制造，今天仍是解放军两栖登陆的中坚力量。,13节,20天,NULL,服役中,1000海里
12.6米,073A型中型登陆舰,舰船舰艇,NULL,87米,NULL,NULL,上海中华造船厂,{'$oid': '5cc931e3831b973d657f1765'},,NULL,2000吨,NULL,NULL,2004年,073III型,中国,2000-5000吨,两栖作战舰艇,NULL,NULL,"
073A型中型登陆舰，073Ⅲ型（玉登级）中型登陆舰改进型，主要运载量：6辆中型坦克、或8辆63A式水陆两栖坦克、或9辆步兵战车、或一个海军陆战中队（180人）、或12辆卡车、或运载250吨的货物。
",17节,NULL,1460吨,现役,暂未公布
10.4米,074A型双体通用登陆艇,舰船舰艇,NULL,58.4米,2.7米,NULL,NULL,{'$oid': '5cc931e3831b973d657f1766'},,NULL,800吨,亚洲,NULL,1995年,“玉海”级登陆舰,中国,500-2000吨,两栖作战舰艇,NULL,NULL,074A型(玉北级)双体通用登陆艇，母型是074型(即“玉海”级)登陆舰，首舰于1995年开始进入我军现役，目前正处于批量建造中。,18节,15天,650吨,NULL,暂无数据
10.5米,073ⅡY型登陆运输舰,舰船舰艇,NULL,79米,NULL,NULL,9308厂,{'$oid': '5cc931e3831b973d657f1767'},,NULL,1100吨,NULL,1985年9月,NULL,073Ⅱ型中型登陆舰,中国,500-2000吨,两栖作战舰艇,1976年9月,073Ⅱ型军用运输舰,,16节,7天,1040吨,NULL,暂未公布
16.4米,072A型大型登陆舰,舰船舰艇,NULL,130米,NULL,NULL,上海沪东造船厂和大连造船厂,{'$oid': '5cc931e3831b973d657f1768'},,NULL,4800吨,NULL,2003年,NULL,072III型,中国,2000-5000吨,两栖作战舰艇,NULL,NULL,"
072A型是072III型加长改良型，072A型（Type-072A）两栖登陆舰，北约称之玉亭II级（Yuting II Class），是继玉亭级之后中国于2003年推出的新型大型两栖登陆舰，由上海沪东造船厂和大连造船厂承建。
",21节,20天,3430吨,现役,暂未公布
15.7米,722/722Ⅱ型气垫登陆艇,舰船舰艇,NULL,31.2米,NULL,NULL,708所,{'$oid': '5cc931e3831b973d657f1769'},,NULL,NULL,NULL,1988年,NULL,NULL,中国,NULL,两栖作战舰艇,1979年,722型、722Ⅱ型,"
1975年，海军委托708所设计中型全垫升式气垫登陆试验艇722型。该艇于1979年建成，708所在722原型艇的基础上，设计了沿海中型气垫登陆艇722Ⅱ型。722Ⅱ型气垫登陆艇最大的缺点，就是受到当时国内科技水平限制，缺乏大型气垫登陆艇的实际设计经验。因此没有进行批量建造。不过，该艇已经完全具备了现代气垫登陆艇的基本特征，海军利用其进行广泛试验，为新型登陆战法的完善以及新一代气垫登陆艇的研发做出了重大贡献。
",47节,NULL,NULL,NULL,200海里
10.5米,073型中型登陆舰,舰船舰艇,NULL,69米,NULL,NULL,大连造船厂,{'$oid': '5cc931e4831b973d657f176a'},,NULL,850吨,北海,1969年8月,1975年,NULL,中国,500-2000吨,两栖作战舰艇,1966年11月,NULL,"
073型中型登陆舰，系首开门短首楼、遮蔽式高坦克甲板、柴油机双螺旋桨推进的中型坦克登陆舰。该型舰的主要任务是在渡海登陆作战中输送登陆部队在滩头直接登陆，协助布雷舰在近海范围内布设防御水雷，并能担任运输任务。具有结构简单、使用方便、造价低廉的特点，可在二、三线船厂大量建造。
",15节,NULL,NULL,退役,1200海里
32米,胡安·卡洛斯一世号战略投射舰,舰船舰艇,NULL,230.82米,NULL,NULL,纳凡蒂亚,{'$oid': '5cc931e4831b973d657f176b'},http://images.huanqiu.com/sarons/2013/12/d9ef64358ecbad9cf1e52f07da42dc07.jpg,NULL,27079吨,NULL,2009年9月22日,2010年9月30日,NULL,西班牙,10000-50000吨,两栖作战舰艇,NULL,NULL,,21节,NULL,NULL,在役,10900
