型宽,名称,大类,编制,舰长,制造厂,_id,图片,次型,满载排水量,活动范围,下水时间,服役时间,前型,枪械,产国,满排吨位,类型,建造时间,同型,简介,航速,自持力,导弹,现状,续航距离
5.5米,“达布尔”(Dabur）级巡逻舰,舰船舰艇,NULL,19.8米,NULL,{'$oid': '5cc931ff831b973d657f1830'},http://images.huanqiu.com/sarons/2013/07/731dbb21a833ebefc4f013af498cb5d6.jpg,“德沃拉”系列艇,39吨,NULL,NULL,NULL,NULL,NULL,以色列,500吨以内,导弹艇,20世纪70年代末,NULL,"
“达布尔”(Dabur)/“巴拉德罗”/“格罗梅特·迪亚兹”/“瓦伊”级巡逻舰，是以色列政府用于执行打击巴勒斯坦恐怖活动的特殊类型巡逻快艇。该级舰于上世纪70年代开始建造，并广销阿根廷、智利、斐济、以色列、尼加拉瓜。现逐渐被“德沃拉”系列艇所代替。
",19节,NULL,NULL,NULL,13节航速下450英里
6.3米,“卡帕伦”(Kaparen)级快速导弹巡逻舰,舰船舰艇,14人,36.6米,挪威卑尔根机械工厂,{'$oid': '5cc931ff831b973d657f1831'},http://images.huanqiu.com/sarons/2013/07/9e62f6db34a7b5c9472150f89ae0d15f.jpg,NULL,170吨,大西洋,1979年8月8日,1980年8月7日,NULL,NULL,挪威,500吨以内,导弹艇,20世纪70年代,NULL,,36节,NULL,NULL,现役2艘,NULL
12.2米,“红稗”级（022型）快速攻击导弹艇,舰船舰艇,12人,42.6米,上海江南造船厂,{'$oid': '5cc931ff831b973d657f1832'},http://images.huanqiu.com/sarons/2013/07/799aa922eeda1696a55a8e3eda21be22.jpg,NULL,220吨,NULL,NULL,NULL,NULL,NULL,中国,500吨以内,导弹艇,2004年4月,NULL,,50节,NULL,NULL,现役,210海里
8.9米,赫尔辛基”(Helsinki)级快速导弹巡逻舰,舰船舰艇,NULL,45米,芬兰赫尔辛基船厂,{'$oid': '5cc931ff831b973d657f1833'},http://images.huanqiu.com/sarons/2013/07/b23cbdd77822cc354b76efe9671303cd.jpg,劳马级导弹艇,300吨,NULL,NULL,1981年9月1日,Tuima级导弹艇,NULL,芬兰,500吨以内,导弹艇,1980年11月,NULL,"
“赫尔辛基”级导弹艇已经在芬兰海军服役近30年，优良的结构设计使其能很好的适应波罗的海及其群岛海域的恶劣海况。
",30节,NULL,NULL,退役（芬兰）,NULL
8.3米,“哈米纳”(Hamina)级快速导弹巡逻舰,舰船舰艇,NULL,50.8米,阿克(Aker)芬兰船厂下属的老马船厂,{'$oid': '5cc931ff831b973d657f1834'},http://images.huanqiu.com/sarons/2013/07/7ff0617d0a1fe8b331edc43e5438c3ef.jpg,NULL,270吨,NULL,NULL,1998年8月24日,劳马级导弹艇,NULL,芬兰,500吨以内,导弹艇,1996年（首艇“哈米纳”号）,NULL,,32节,NULL,NULL,在役,30节航速下航程500英里
5.7米,“德沃拉/超级德沃拉”Mk II/III级通用快速巡逻舰,舰船舰艇,NULL,27米,以色列拉姆塔公司,{'$oid': '5cc931ff831b973d657f1835'},http://images.huanqiu.com/sarons/2013/07/06cd22addc0bdea69c09dcc16a12d165.jpg,NULL,72吨,NULL,NULL,2004年11月11日（MK-III）,“达布尔”级沿海巡逻艇,NULL,以色列,500吨以内,导弹艇,NULL,NULL,"
“超级德沃拉”Mk-III是以色列海军速度最快的巡逻艇，也是当今世界上最先进的巡逻艇，主要在沿海地区、江河口岸活动，保护海岸线，拦截恐怖分子。其前身“超级德沃拉”系列巡逻、攻击艇在中东地区数十年的战斗和维和行动中，经受了战火考验，能够执行全天候近岸和沿海监视、搜索、营救、海警(侦察、拦截、打击海盗、恐怖主义分子、走私、偷渡及其他非法行为)等行动任务，同时还可执行“蓝水”海军行动，与空中、海上和地面部队配合，完成各种军事任务。
",52节,NULL,NULL,在役,17节航速下1200英里
9米,“弗莱维费斯肯”级通用巡逻舰,舰船舰艇,NULL,54米,丹麦造船公司,{'$oid': '5cc93200831b973d657f1836'},http://images.huanqiu.com/sarons/2013/07/8f08eac80e9513aadb8f8ada5702424b.jpg,NULL,480吨,NULL,1986年4月26日,1989年12月19日,NULL,NULL,丹麦,500吨以内,导弹艇,1985年7月,NULL,"
在丹麦的""标准-灵活 300""（SF 300）计划下，丹麦海军提出新型""弗莱维费斯肯""级多任务舰艇的建造意见。“弗莱维费斯肯”级采用了标准船体和集装箱化武器系统和设备，能够允许舰艇快速变换任务用于监视、水面战斗、反潜战、水雷对抗/猎雷、布雷或执行污染监控任务。
",30节,NULL,NULL,在役,18节航速下航程2400英里
7.1米,“诺科平”(Norrkoping)级快速导弹巡逻舰,舰船舰艇,NULL,43.6米,瑞典卡尔斯克鲁纳造船厂,{'$oid': '5cc93200831b973d657f1837'},http://images.huanqiu.com/sarons/2013/07/ff09cda947dd958e9942802de2c15b89.jpg,NULL,230吨,大西洋,1972年11月16日,1973年5月11日,NULL,NULL,挪威,500吨以内,导弹艇,未知,“诺科平”号(R131)，“伊斯塔德”号(R142),,40.5节,NULL,NULL,退役或被转售,40节航速下航程500英里
7.2米,“红星”(Houxin)(037/1G)级导弹巡逻舰,舰船舰艇,NULL,62.8米,上海求新船厂,{'$oid': '5cc93200831b973d657f1838'},http://images.huanqiu.com/sarons/2013/07/163367a76c4863c831a4dc829901a8c9.jpg,NULL,478吨,NULL,1990年12月30日,1991年8月30日,”海鸠“级反潜巡逻舰,NULL,中国,500吨以内,导弹艇,1990年5月29日,32艘,"
037-IG红星级是从037I（海鸠级）开发而来的导弹巡逻舰。在1991年和1997年之间，有24艘船体由上海求新船厂建造，其中六艘在20世纪90年代中期销往缅甸海军。
",28节,NULL,NULL,在役,15节航速下航程1300英里
7.6米,“拉马丹”(Ramadan)级快速导弹巡逻舰,舰船舰艇,NULL,52米,英国沃斯帕桑尼克洛伏特,{'$oid': '5cc93200831b973d657f1839'},http://images.huanqiu.com/sarons/2013/07/3ea9b2c5c16704379a2bebcb7f3c0836.jpg,NULL,307吨,NULL,NULL,1981年7月20日,NULL,NULL,英国,500吨以内,导弹艇,1979年9月6日,NULL,"
拉马丹（Ramadan）级导弹巡逻舰又名斋月级导弹艇，是埃及海军购自英国沃斯帕桑尼克洛伏特制造的大型导弹艇。 1981年开始服役。
",40节,NULL,NULL,在役,18节航速下航程1600英里
