_id,图片,口径,类型,炮口初速,名称,简介,全长,最大射程,大类,炮管长度,产国,总重
{'$oid': '5cc93343831b973d657f2033'},,155毫米,装甲车载炮,NULL,SH-1型155毫米车载火炮,,NULL,600000米,火炮,NULL,中国,22000千克
{'$oid': '5cc93343831b973d657f2034'},http://images.huanqiu.com/sarons/2013/11/a6869d57e0a3823f3870a88be87aec0c.jpg,283毫米,装甲车载炮,1120米/秒,280mm利奥波德（Leopold）列车炮,"
此列车炮在二次大战东西战线均有其影子，最有名之“ 安齐奥之役 ”曾给予过美军部队不少苦头。
",31100毫米,64000米,火炮,21539毫米,德国,218000千克
