数量,大类,简介,发射性能,产国,参战情况,全枪长,弹匣容弹量,有效射程,全枪重,战斗射速,类型,制造商,图片,生产年限,_id,名称,口径
NULL,枪械与单兵,"
SSG550是在SG550标准型的基础上改进而成的，它采用锤锻重型枪管，只能进行半自动射击。单连发扳机、枪托底部长度和贴腮板可调。根据需要也可调整手枪握把，以便安装扶手。装有两脚架，瞄准镜位置可调以适应射手面部贴近贴腮板时的瞄准动作。顶部可安装拖拉式透光板，以防枪管发烫形成的热气流影响瞄准。该枪的设计充分考虑了狙击手的人机功效。
",自动步枪,瑞士,NULL,1130毫米,30发,1500米,7.3千克,NULL,狙击枪,西格公司,,1995年-2002年,{'$oid': '5cc9323e831b973d657f19fe'},SSG 550狙击手自动步枪,5.56毫米
NULL,枪械与单兵,"
伯莱塔M501狙击步枪，也称伯莱塔狙击步枪（Beretta sniper rifle）和意大利伯莱塔 7.62毫米 狙击步枪（Beretta 7.62mm Sniping Rifle），是意大利伯莱塔公司于80年代研制成功的新型狙击步枪，发射北约7.62毫米标准枪弹，用于在较远距离上消灭单个重要有生目标。该枪装备意大利军警部队，目前已不再生产。
",非自动步枪,意大利,NULL,1165毫米,5发,NULL,5.6千克,NULL,狙击枪,伯莱塔公司,,1985年,{'$oid': '5cc9323e831b973d657f19ff'},伯莱塔狙击步枪,7.62毫米
NULL,枪械与单兵,,NULL,瑞士,NULL,1180毫米,5发,NULL,5.4千克,NULL,狙击枪,SIG Arms（现在是西格&绍尔）,,1991年-2002年,{'$oid': '5cc9323e831b973d657f1a00'},西格-绍尔SSG-3000狙击步枪,7.62毫米
NULL,枪械与单兵,,非自动步枪,匈牙利,NULL,1570毫米,20发,1000米,19千克,NULL,狙击枪,杰帕德公司,http://images.huanqiu.com/sarons/2013/08/ea64c1a838663342a37498a56e726b4a.jpg,1992年,{'$oid': '5cc9323e831b973d657f1a01'},杰帕德M1／M1A1步枪,12.7毫米
NULL,枪械与单兵,,半自动枪支,苏/俄,1994年第一次车臣战争、1999年第二次车臣战争、2011年叙利亚内战 、2011年利比亚内战,1746毫米,5发,NULL,12.9千克,15发/分,狙击枪,KBP仪器设计厂,http://images.huanqiu.com/sarons/2013/08/4c15b8b2d3704f9ac204dc5a30b3c3f3.jpg,1996年至今,{'$oid': '5cc9323e831b973d657f1a02'},OSV-96狙击步枪,12.7毫米
NULL,枪械与单兵,,自动步枪,美国,海湾战争爱尔兰冲突科索沃战争伊拉克战争阿富汗战争墨西哥毒品战争,1549毫米,11发,1850米,13.4千克,NULL,狙击枪,巴雷特军火公司,http://images.huanqiu.com/sarons/2013/08/f56f91f3e606783e59f4f7675e539ce3.jpg,1983年-1992年,{'$oid': '5cc9323e831b973d657f1a03'},巴雷特Light Fifty M82A1狙击步枪,12.7毫米
NULL,枪械与单兵,"
（英语：Accuracy International Arctic Warfare 50 Folding）为英国精密国际设计的北极作战（英语：Arctic Warfare）系列的重型狙击步枪（反器材步枪），为AW50的折叠式枪托版（这也是精密国际AW的一种衍生型）。有多个武装力量将其用作反器材步枪，其中包括英国和澳大利亚军队。除更大、更重外，与类似的小口径步枪相比，AW50F还装备显眼的枪口制退器和可调整的折叠式枪托，以适合身高不同的人使用。枪托还包含一个依托架，让使用者长时间观察目标区域后也不会感到疲劳。机匣上方的导轨可安装光学瞄准镜和夜视瞄准镜。
",NULL,英国,驻东帝汶的联合国维和部队，2001年阿富汗战争，2003年伊拉克战争,1350毫米,5发,1500米,13.6千克,NULL,狙击枪,英国精密国际,http://images.huanqiu.com/sarons/2013/08/2fa187e77ccf33de63dae2cd14755e0a.jpg,1999年,{'$oid': '5cc9323e831b973d657f1a04'},精确国际AW50F步枪,12.7毫米
NULL,枪械与单兵,,NULL,英国,NULL,1124毫米,10发,800米,6.5千克,NULL,狙击枪,精准国际公司（Accuracy International）,http://images.huanqiu.com/sarons/2013/08/df1da66d791898f6fa8f94006d10bcc0.jpg,1985年至今,{'$oid': '5cc9323f831b973d657f1a05'},精确国际L96A1狙击步枪,7.62毫米
NULL,枪械与单兵,"
NM 149S狙击步枪是一种适合冰天雪地使用的狙击步枪。它的组构件都有耐寒的性能。尤其是木制枪托表面又浸渍了层状的树脂，不冻手，且便于握持。
",非自动枪支,挪威,NULL,1120毫米,5发,800米,5.6千克,NULL,狙击枪,未知,,1990年,{'$oid': '5cc9323f831b973d657f1a06'},NM 149S狙击步枪,7.62毫米
NULL,枪械与单兵,,半自动枪支,苏/俄,NULL,1225毫米,10发,800米,4.3千克,NULL,狙击枪,前苏联伊茨玛希机械厂,http://images.huanqiu.com/sarons/2013/08/3358a3a772e84b8850f3f0fbf253b6f5.jpg,1963年至今,{'$oid': '5cc9323f831b973d657f1a07'},德拉格诺夫SVD狙击步枪,7.62毫米
