数量,大类,简介,发射性能,产国,参战情况,全枪长,弹匣容弹量,有效射程,全枪重,战斗射速,类型,制造商,图片,生产年限,_id,名称,口径
NULL,枪械与单兵,,非自动枪支,意大利,NULL,1165毫米,5发,NULL,5.55千克,NULL,狙击枪,意大利伯莱塔公司,,20世纪80年代,{'$oid': '5cc93249831b973d657f1a38'},伯莱塔7.62毫米狙击枪,7.62毫米
NULL,枪械与单兵,,半自动枪支,美国,海湾战争，伊拉克战争,113毫米,20发,900米,4.9千克,NULL,狙击枪,美国陆军特种部队—第10特种小队(10th Special Forces Group),,1980年,{'$oid': '5cc93249831b973d657f1a39'},M25狙击步枪,7.62毫米
NULL,枪械与单兵,,半自动枪支,美国,NULL,1143毫米,5发,1800米,9.98千克,NULL,狙击枪,巴雷特枪械公司,http://images.huanqiu.com/sarons/2014/01/4b6027f74c7c2b5926c0b8487c8255e0.jpg,1990年—1995年,{'$oid': '5cc93249831b973d657f1a3a'},巴雷特M90狙击步枪,12.7毫米
NULL,枪械与单兵,,非自动枪支,美国,NULL,1161毫米,5发,800米,5.27千克,NULL,狙击枪,雷明顿武器公司,,1988年11月,{'$oid': '5cc93249831b973d657f1a3b'},M24式7.62mm狙击步枪,7.62毫米
NULL,枪械与单兵,,半自动枪支,美国,越战，海湾战争，阿富汗战争，伊拉克战争,1118毫米,20发,690米,5.27千克,NULL,狙击枪,岩岛兵工厂，春田公司,http://images.huanqiu.com/sarons/2014/01/5e9a18c0f5a55121167ff9eac5ec34f2.jpg,1969年,{'$oid': '5cc93249831b973d657f1a3c'},M21狙击步枪,7.62毫米
NULL,枪械与单兵,,非自动枪支,美国,阿富汗战场，伊拉克战场,1124毫米,5发,900米,7.5千克,NULL,狙击枪,雷明登武器公司,http://images.huanqiu.com/sarons/2014/01/1515ea6bb5b422158ad7760b7fdb2943.jpg,2001年,{'$oid': '5cc93249831b973d657f1a3d'},M40A3狙击步枪,7.62毫米
NULL,枪械与单兵,,NULL,美国,NULL,1187.45毫米,7发,2000米,14.06千克,NULL,狙击枪,美国CheyTac公司,,NULL,{'$oid': '5cc93249831b973d657f1a3e'},M200狙击枪,10.36毫米
NULL,枪械与单兵,,NULL,美国,NULL,1003毫米,20发,900米,7千克,NULL,狙击枪,岩岛兵工厂,http://images.huanqiu.com/sarons/2014/01/14c35cccfca683c0f862be689bebf827.jpg,NULL,{'$oid': '5cc9324a831b973d657f1a3f'},MK12狙击步枪,5.56毫米
NULL,枪械与单兵,,NULL,美国,海湾战争,965毫米,20发,NULL,3.6千克,NULL,狙击枪,罗巴公司,http://images.huanqiu.com/sarons/2014/01/2e5647d984ba574fbadc4038f9e21bf5.jpg,NULL,{'$oid': '5cc9324a831b973d657f1a40'},罗巴QR2-F狙击步枪,7.82毫米
NULL,枪械与单兵,,NULL,苏/俄,NULL,932毫米,20发,400米,2.8千克,NULL,狙击枪,KBP设计局,http://images.huanqiu.com/sarons/2014/01/90aae42b53abdf0eba033a4f6a4913d9.jpg,NULL,{'$oid': '5cc9324a831b973d657f1a41'},VSK-94狙击枪,9毫米
